competentauthoritydesignation_id,schedule,row,relevant_sector,subsector,designated_competent_authority,territorial_jurisdiction,designating_provision,source_document
sch1_row_01,1,1,Energy,Electricity,"The Secretary of State for Business, Energy and Industrial Strategy (England and Wales and Scotland) and the Gas and Electricity Markets Authority (acting jointly).",England and Wales and Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_02,1,2,Energy,Electricity,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_03,1,3,Energy,Oil,"The Secretary of State for Business, Energy and Industrial Strategy (England and Wales and Scotland)",England and Wales and Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_04,1,4,Energy,Oil,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_05,1,5,Energy,Gas,"The Secretary of State for Business, Energy and Industrial Strategy for the essential services specified in Schedule 2, paragraph 3, sub-paragraphs (5) to (8) (England and Wales and Scotland).",England and Wales and Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_06,1,6,Energy,Gas,"Otherwise, the Secretary of State for Business, Energy and Industrial Strategy and The Gas and Electricity Markets Authority (acting jointly).",England and Wales and Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_07,1,7,Energy,Gas,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_08,1,8,Transport,Air Transport,The Secretary of State for Transport and The Civil Aviation Authority (acting jointly) (United Kingdom).,United Kingdom,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_09,1,9,Transport,Rail Transport,The Secretary of State for Transport (England and Wales and Scotland),England and Wales and Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_10,1,10,Transport,Rail Transport,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_11,1,11,Transport,Water Transport,The Secretary of State for Transport (United Kingdom),United Kingdom,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_12,1,12,Transport,Road Transport,The Secretary of State for Transport (England and Wales),England and Wales,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_13,1,13,Transport,Road Transport,The Scottish Ministers (Scotland),Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_14,1,14,Transport,Road Transport,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_15,1,15,Health Sector,"Health care settings (including hospitals, private clinics and online settings)",The Secretary of State for Health (England),England,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_16,1,16,Health Sector,"Health care settings (including hospitals, private clinics and online settings)",The Welsh Ministers (Wales),Wales,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_17,1,17,Health Sector,"Health care settings (including hospitals, private clinics and online settings)",The Scottish Ministers (Scotland),Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_18,1,18,Health Sector,"Health care settings (including hospitals, private clinics and online settings)",The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_19,1,19,Drinking water supply and distribution,Drinking water supply and distribution,"The Secretary of State for Environment, Food and Rural Affairs (England)",England,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_20,1,20,Drinking water supply and distribution,Drinking water supply and distribution,The Welsh Ministers (Wales),Wales,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_21,1,21,Drinking water supply and distribution,Drinking water supply and distribution,The Drinking Water Quality Regulator for Scotland (Scotland),Scotland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_22,1,22,Drinking water supply and distribution,Drinking water supply and distribution,The Department of Finance (Northern Ireland),Northern Ireland,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch1_row_23,1,23,Digital Infrastructure,Digital Infrastructure,Office of Communications (United Kingdom),United Kingdom,reg3(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
