schedule_id,number,title,referenced_by,source_document
schedule_1,1,Designated Competent Authorities,Regulation 3,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
schedule_2,2,Essential Services and Threshold Requirements,Regulation 8,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
