regulation_id,number,heading,part,citation,source_document
reg1,1,"Citation, commencement, interpretation and application",1,regulation 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg2,2,The NIS national strategy,2,regulation 2,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg3,3,Designation of national competent authorities,2,regulation 3,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg4,4,Designation of the single point of contact,2,regulation 4,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg5,5,Designation of computer security incident response team,2,regulation 5,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg6,6,Information sharing – enforcement authorities,2,regulation 6,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg7,7,Information sharing – Northern Ireland,2,regulation 7,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg8,8,Identification of operators of essential services,3,regulation 8,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg9,9,Revocation,3,regulation 9,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg10,10,The security duties of operators of essential services,3,regulation 10,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg11,11,The duty to notify incidents,3,regulation 11,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg12,12,Relevant digital service providers,4,regulation 12,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg13,13,Co-operation and action across Member State boundaries,4,regulation 13,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg14,14,Registration with the Information Commissioner,4,regulation 14,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg15,15,Information notices,5,regulation 15,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg16,16,Power of inspection,5,regulation 16,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg17,17,Enforcement for breach of duties,5,regulation 17,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg18,18,Penalties,5,regulation 18,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg19,19,Independent review of designation decisions and penalty decisions,5,regulation 19,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg20,20,Enforcement of penalty notices,5,regulation 20,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg21,21,Fees,6,regulation 21,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg22,22,Proceeds of penalties,6,regulation 22,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg23,23,Enforcement action – general considerations,6,regulation 23,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg24,24,Service of documents,6,regulation 24,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
reg25,25,Review and report,6,regulation 25,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
