competentauthority_id,name,column,source,source_document
authority_the_secretary_of_state_for_business_energy_and_industrial_strategy_eng,"The Secretary of State for Business, Energy and Industrial Strategy (England and Wales and Scotland) and the Gas and Electricity Markets Authority (acting jointly).",Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_department_of_finance_northern_ireland,The Department of Finance (Northern Ireland),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_business_energy_and_industrial_strategy_for,"The Secretary of State for Business, Energy and Industrial Strategy for the essential services specified in Schedule 2, paragraph 3, sub-paragraphs (5) to (8) (England and Wales and Scotland).",Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_otherwise_the_secretary_of_state_for_business_energy_and_industrial_st,"Otherwise, the Secretary of State for Business, Energy and Industrial Strategy and The Gas and Electricity Markets Authority (acting jointly).",Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_transport_and_the_civil_aviation_authority_,The Secretary of State for Transport and The Civil Aviation Authority (acting jointly) (United Kingdom).,Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_transport_england_and_wales_and_scotland,The Secretary of State for Transport (England and Wales and Scotland),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_transport_united_kingdom,The Secretary of State for Transport (United Kingdom),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_transport_england_and_wales,The Secretary of State for Transport (England and Wales),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_scottish_ministers_scotland,The Scottish Ministers (Scotland),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_health_england,The Secretary of State for Health (England),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_welsh_ministers_wales,The Welsh Ministers (Wales),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_secretary_of_state_for_environment_food_and_rural_affairs_england,"The Secretary of State for Environment, Food and Rural Affairs (England)",Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_drinking_water_quality_regulator_for_scotland_scotland,The Drinking Water Quality Regulator for Scotland (Scotland),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_office_of_communications_united_kingdom,Office of Communications (United Kingdom),Column 3,Schedule 1,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_the_information_commissioner_reg3_2,The Information Commissioner,,reg3(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_gchq_spoc,GCHQ (SPOC),,reg4(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
authority_gchq_csirt,GCHQ (CSIRT),,reg5(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
