preamble_id,sequence,text,source_document
preamble_1,1,The Secretary of State is a Minister designated(a) for the purposes of section 2(2) of the European Communities Act 1972(b) (“the 1972 Act”) in relation to electronic communications.,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
preamble_2,2,These Regulations make provision for a purpose mentioned in section 2(2) of the 1972 Act and it appears to the Secretary of State that it is expedient for certain references to provisions of EU instruments to be construed as references to those provisions as amended from time to time.,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
preamble_3,3,"The Secretary of State makes the following Regulations in exercise of the powers conferred by section 2(2) of, and paragraph 1A(c) of Schedule 2 to, the 1972 Act and by section 56 of the Finance Act 1973(d) (“the 1973 Act”) and, in the case of section 56 of the 1973 Act, with the consent of the Treasury.",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
