schedulepara_id,schedule,number,heading,citation,source_document
sch2p1,2,1,The electricity subsector,"Schedule 2, paragraph 1",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p2,2,2,The oil subsector,"Schedule 2, paragraph 2",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p3,2,3,The gas subsector,"Schedule 2, paragraph 3",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p4,2,4,The air transport subsector,"Schedule 2, paragraph 4",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p5,2,5,The water transport subsector,"Schedule 2, paragraph 5",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p6,2,6,The rail transport subsector,"Schedule 2, paragraph 6",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p7,2,7,The road transport subsector,"Schedule 2, paragraph 7",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p8,2,8,The healthcare subsector,"Schedule 2, paragraph 8",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p9,2,9,The drinking water supply and distribution subsector,"Schedule 2, paragraph 9",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
sch2p10,2,10,The digital infrastructure subsector,"Schedule 2, paragraph 10",KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
