figure_id,label,caption,source_document
FIG-1,Figure 1,Zero Trust Access,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-2,Figure 2,Core Zero Trust Logical Components,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-3,Figure 3,Device Agent/Gateway Model,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-4,Figure 4,Enclave Gateway Model,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-5,Figure 5,Resource Portal Model,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-6,Figure 6,Application Sandboxes,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-7,Figure 7,Trust Algorithm Input,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-8,Figure 8,Enterprise with Remote Employees,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-9,Figure 9,Multi-cloud Use Case,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-10,Figure 10,Enterprise with Nonemployee Access,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-11,Figure 11,Cross-Enterprise Collaboration,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
FIG-12,Figure 12,ZTA Deployment Cycle,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
TAB-B-1,Table B-1,Summary of Identified Deployment Gaps,"NIST SP 800-207, Zero Trust Architecture (August 2020) — KB 2/USA/NIST.SP.800-207.pdf"
