source_id,target_id,rel_type,section_number
PART_I,s1,HAS_SECTION,1
PART_I,s2,HAS_SECTION,2
PART_I,s3,HAS_SECTION,3
PART_I,s4,HAS_SECTION,4
PART_II,s5,HAS_SECTION,5
PART_II,s6,HAS_SECTION,6
PART_II,s7,HAS_SECTION,7
PART_II,s8,HAS_SECTION,8
PART_II,s9,HAS_SECTION,9
PART_II,s10,HAS_SECTION,10
PART_II,s11,HAS_SECTION,11
PART_II,s12,HAS_SECTION,12
PART_II,s13,HAS_SECTION,13
PART_II,s14,HAS_SECTION,14
PART_II,s15,HAS_SECTION,15
PART_II,s16,HAS_SECTION,16
PART_II,s17,HAS_SECTION,17
PART_III,s18,HAS_SECTION,18
PART_III,s19,HAS_SECTION,19
PART_III,s20,HAS_SECTION,20
PART_III,s21,HAS_SECTION,21
PART_III,s22,HAS_SECTION,22
PART_III,s23,HAS_SECTION,23
PART_III,s24,HAS_SECTION,24
PART_IV,s25,HAS_SECTION,25
PART_IV,s26,HAS_SECTION,26
PART_IV,s27,HAS_SECTION,27
PART_IV,s28,HAS_SECTION,28
PART_IV,s29,HAS_SECTION,29
PART_IV,s30,HAS_SECTION,30
PART_IV,s31,HAS_SECTION,31
PART_IV,s32,HAS_SECTION,32
PART_IV,s33,HAS_SECTION,33
PART_IV,s34,HAS_SECTION,34
PART_IV,s35,HAS_SECTION,35
PART_IV,s36,HAS_SECTION,36
PART_IV,s37,HAS_SECTION,37
PART_IV,s38,HAS_SECTION,38
PART_IV,s39,HAS_SECTION,39
PART_IV,s40,HAS_SECTION,40
PART_IV,s41,HAS_SECTION,41
PART_IV,s42,HAS_SECTION,42
PART_IV,s43,HAS_SECTION,43
PART_V,s44,HAS_SECTION,44
PART_V,s45,HAS_SECTION,45
PART_V,s46,HAS_SECTION,46
PART_V,s47,HAS_SECTION,47
PART_VI,s48,HAS_SECTION,48
PART_VI,s49,HAS_SECTION,49
PART_VI,s50,HAS_SECTION,50
PART_VII,s51,HAS_SECTION,51
PART_VII,s52,HAS_SECTION,52
PART_VII,s53,HAS_SECTION,53
PART_VII,s54,HAS_SECTION,54
PART_VII,s55,HAS_SECTION,55
PART_VIII,s56,HAS_SECTION,56
PART_VIII,s57,HAS_SECTION,57
PART_VIII,s58,HAS_SECTION,58
PART_VIII,s59,HAS_SECTION,59
PART_VIII,s60,HAS_SECTION,60
PART_VIII,s61,HAS_SECTION,61
PART_VIII,s62,HAS_SECTION,62
PART_VIII,s63,HAS_SECTION,63
PART_VIII,s64,HAS_SECTION,64
PART_VIII,s65,HAS_SECTION,65
PART_VIII,s66,HAS_SECTION,66
PART_IX,s67,HAS_SECTION,67
PART_IX,s68,HAS_SECTION,68
PART_IX,s69,HAS_SECTION,69
PART_IX,s70,HAS_SECTION,70
PART_X,s71,HAS_SECTION,71
PART_XI,s72,HAS_SECTION,72
PART_XI,s73,HAS_SECTION,73
PART_XI,s74,HAS_SECTION,74
PART_XI,s75,HAS_SECTION,75
