schedule_id,title,enabling_reference,text,enabling_section_id,source_document
SCH_1,FIRST SCHEDULE,[Section 15.],"I, ...................................................................., make oath/solemnly affirm/declare that I will faithfully and honestly fulfil my duties as the Data Commissioner in conformity with the Data Protection Act and that I shall not, without the due authority in that behalf, disclose or make known any matter or thing which comes to my knowledge by reason of discharge of my duties. ......................................... Magistrate/Judge",s15,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
SCH_2,SECOND SCHEDULE,[Section 75.],CONSEQUENTIAL AMENDMENTS,s75,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
