paragraph_id,number,section_id,text,closing_text,source_document
PARA-1,1,SEC-AUTH,This Prudential Standard is made under:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2,2,SEC-APP,This Prudential Standard applies to all ‘APRA-regulated entities’ defined as:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-3,3,SEC-APP,"The obligations imposed by this Prudential Standard on, or in relation to, a foreign ADI, a Category C insurer or an EFLIC apply only in relation to the Australian branch operations of that entity.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-4,4,SEC-APP,"Where an APRA-regulated entity is the ‘Head of a group’, it must comply with a requirement of this Prudential Standard:","In applying the requirements of this Prudential Standard on a group basis, references in paragraphs 13 to 36 to an ‘APRA-regulated entity’ are to be read as ‘Head of a group’ and references to ‘entity’ are to be read as ‘group’.",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-5,5,SEC-APP,"This Prudential Standard commences on 1 July 2019, subject to paragraph 6.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-6,6,SEC-APP,"Where an APRA-regulated entity’s information assets are managed by a third party, the requirements in this Prudential Standard will apply in relation to those information assets from the earlier of the next renewal date of the contract with the third party or 1 July 2020.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-7,7,SEC-INT,"Terms that are defined in Prudential Standard APS 001 Definitions (APS 001), Prudential Standard GPS 001 Definitions (GPS 001), Prudential Standard LPS 001 Definitions, Prudential Standard HPS 001 Definitions or Prudential Standard 3PS 001 Definitions appear in bold the first time they are used in this Prudential Standard.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-8,8,SEC-INT,"In this Prudential Standard, unless the contrary intention appears, a reference to an Act, Regulation or Prudential Standard is a reference to the Act, Regulation or Prudential Standard as in force from time to time.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-9,9,SEC-INT,"Where this Prudential Standard provides for APRA to exercise a power or discretion, the power or discretion is to be exercised in writing.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-10,10,SEC-INT,"For the purposes of this Prudential Standard: ‘group’ means a Level 2 group or a Level 3 group, as relevant; ‘Head of a group’ means a Level 2 Head or Level 3 Head, as relevant; ‘Level 2 group’ means the entities that comprise: (a) Level 2 as defined in APS 001; or (b) a Level 2 insurance group as defined in GPS 001; ‘Level 2 Head’ means: (a) where an ADI that is a member of a Level 2 group is not a subsidiary of an authorised banking NOHC or another ADI, that ADI; (b) where an ADI that is a member of a Level 2 group is a subsidiary of an authorised banking NOHC, that authorised banking NOHC; or (c) the parent entity of a Level 2 insurance group as defined in GPS 001.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-11,11,SEC-ADJ,APRA may adjust or exclude a specific prudential requirement in this Prudential Standard in relation to an APRA-regulated entity.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12,12,SEC-DEF,The following definitions are used in this Prudential Standard:,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-13,13,SEC-ROLES,"The Board of an APRA-regulated entity (Board) is ultimately responsible for the information security of the entity. The Board must ensure that the entity maintains information security in a manner commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-14,14,SEC-ROLES,"An APRA-regulated entity must clearly define the information security-related roles and responsibilities of the Board, senior management, governing bodies and individuals with responsibility for decision-making, approval, oversight, operations and other information security functions.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-15,15,SEC-CAP,"An APRA-regulated entity must maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-16,16,SEC-CAP,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-17,17,SEC-CAP,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-18,18,SEC-POL,An APRA-regulated entity must maintain an information security policy framework commensurate with its exposures to vulnerabilities and threats.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-19,19,SEC-POL,An APRA-regulated entity’s information security policy framework must provide direction on the responsibilities of all parties who have an obligation to maintain information security.,,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-20,20,SEC-CLASS,"An APRA-regulated entity must classify its information assets, including those managed by related parties and third parties, by criticality and sensitivity. This classification must reflect the degree to which an information security incident affecting an information asset has the potential to affect, financially or non-financially, the entity or the interests of depositors, policyholders, beneficiaries or other customers.",,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-21,21,SEC-IMPL,"An APRA-regulated entity must have information security controls to protect its information assets, including those managed by related parties and third parties, that are implemented in a timely manner and that are commensurate with:",,APRA Prudential Standard CPS 234 Information Security (July 2019)
