enablingprovision_id,act,provision,cited_in,source_document
ACT-BANKING,Banking Act 1959 (Banking Act),section 11AF,PARA-1(a),APRA Prudential Standard CPS 234 Information Security (July 2019)
ACT-INSURANCE,Insurance Act 1973 (Insurance Act),section 32,PARA-1(b),APRA Prudential Standard CPS 234 Information Security (July 2019)
ACT-LIFE,Life Insurance Act 1995 (Life Insurance Act),section 230A,PARA-1(c),APRA Prudential Standard CPS 234 Information Security (July 2019)
ACT-PHIPS,Private Health Insurance (Prudential Supervision) Act 2015 (PHIPS Act),section 92,PARA-1(d),APRA Prudential Standard CPS 234 Information Security (July 2019)
ACT-SIS,Superannuation Industry (Supervision) Act 1993 (SIS Act),section 34C,PARA-1(e),APRA Prudential Standard CPS 234 Information Security (July 2019)
