subparagraph_id,label,paragraph_id,text,source_document
PARA-1(a),a,PARA-1,section 11AF of the Banking Act 1959 (Banking Act);,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-1(b),b,PARA-1,section 32 of the Insurance Act 1973 (Insurance Act);,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-1(c),c,PARA-1,section 230A of the Life Insurance Act 1995 (Life Insurance Act);,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-1(d),d,PARA-1,section 92 of the Private Health Insurance (Prudential Supervision) Act 2015 (PHIPS Act); and,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-1(e),e,PARA-1,section 34C of the Superannuation Industry (Supervision) Act 1993 (SIS Act).,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2(a),a,PARA-2,"authorised deposit-taking institutions (ADIs), including foreign ADIs, and non-operating holding companies authorised under the Banking Act (authorised banking NOHCs);",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2(b),b,PARA-2,"general insurers, including Category C insurers, non-operating holding companies authorised under the Insurance Act (authorised insurance NOHCs), and parent entities of Level 2 insurance groups;",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2(c),c,PARA-2,"life companies, including friendly societies, eligible foreign life insurance companies (EFLICs) and non-operating holding companies registered under the Life Insurance Act (registered life NOHCs);",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2(d),d,PARA-2,private health insurers registered under the PHIPS Act; and,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-2(e),e,PARA-2,RSE licensees under the SIS Act in respect of their business operations.,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-4(a),a,PARA-4,in its capacity as an APRA-regulated entity;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-4(b),b,PARA-4,"by ensuring that the requirement is applied appropriately throughout the group, including in relation to entities that are not APRA-regulated; and",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-4(c),c,PARA-4,on a group basis.,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(a),a,PARA-12,availability refers to accessibility and usability when required;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(b),b,PARA-12,confidentiality refers to access being restricted only to those authorised;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(c),c,PARA-12,criticality refers to the potential impact of a loss of availability;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(d),d,PARA-12,"information asset means information and information technology, including software, hardware and data (both soft and hard copy);",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(e),e,PARA-12,"information security means the preservation of an information asset’s confidentiality, integrity and availability;",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(f),f,PARA-12,"information security capability means the totality of resources, skills and controls which provide the ability and capacity to maintain information security;",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(g),g,PARA-12,"information security control means a prevention, detection or response measure to reduce the likelihood or impact of an information security incident;",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(h),h,PARA-12,information security incident means an actual or potential compromise of information security;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(i),i,PARA-12,"information security policy framework means the totality of policies, standards, guidelines and procedures pertaining to information security;",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(j),j,PARA-12,information security threat (threat) is a circumstance or event that has the potential to exploit an information security vulnerability;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(k),k,PARA-12,information security vulnerability (vulnerability) is a weakness in an information asset or information security control that could be exploited to compromise information security;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(l),l,PARA-12,"integrity refers to completeness, accuracy and freedom from unauthorised change or usage; and",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-12(m),m,PARA-12,sensitivity means the potential impact of a loss of confidentiality or integrity.,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-21(a),a,PARA-21,vulnerabilities and threats to the information assets;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-21(b),b,PARA-21,the criticality and sensitivity of the information assets;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-21(c),c,PARA-21,the stage at which the information assets are within their life-cycle; and,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-21(d),d,PARA-21,the potential consequences of an information security incident.,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-25(a),a,PARA-25,"managing all relevant stages of an incident, from detection to post-incident review; and",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-25(b),b,PARA-25,"escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate.",APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-27(a),a,PARA-27,the rate at which the vulnerabilities and threats change;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-27(b),b,PARA-27,the criticality and sensitivity of the information asset;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-27(c),c,PARA-27,the consequences of an information security incident;,APRA Prudential Standard CPS 234 Information Security (July 2019)
PARA-27(d),d,PARA-27,the risks associated with exposure to environments where the APRA-regulated entity is unable to enforce its information security policies; and,APRA Prudential Standard CPS 234 Information Security (July 2019)
