deadline_id,obligation,period,paragraph_id,text,trigger,notify_party,source_document
DL-72H,Notification of material information security incident,no later than 72 hours,PARA-35,"An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 72 hours, after becoming aware of an information security incident that: (a) materially affected, or had the potential to materially affect, financially or non-financially, the entity or the interests of depositors, policyholders, beneficiaries or other customers; or (b) has been notified to other regulators, either in Australia or other jurisdictions.",after becoming aware of an information security incident,APRA,APRA Prudential Standard CPS 234 Information Security (July 2019)
DL-10BD,Notification of material information security control weakness,no later than 10 business days,PARA-36,"An APRA-regulated entity must notify APRA as soon as possible and, in any case, no later than 10 business days, after it becomes aware of a material information security control weakness which the entity expects it will not be able to remediate in a timely manner.",after it becomes aware of a material information security control weakness which the entity expects it will not be able to remediate in a timely manner,APRA,APRA Prudential Standard CPS 234 Information Security (July 2019)
DL-ANNUAL-RESPONSE,Annual review and test of information security response plans,annually,PARA-26,An APRA-regulated entity must annually review and test its information security response plans to ensure they remain effective and fit-for-purpose.,,,APRA Prudential Standard CPS 234 Information Security (July 2019)
DL-ANNUAL-TESTPROG,Review of sufficiency of the testing program,at least annually or when there is a material change to information assets or the business environment,PARA-31,An APRA-regulated entity must review the sufficiency of the testing program at least annually or when there is a material change to information assets or the business environment.,,,APRA Prudential Standard CPS 234 Information Security (July 2019)
DL-COMMENCE,Commencement of Prudential Standard,1 July 2019,PARA-5,"This Prudential Standard commences on 1 July 2019, subject to paragraph 6.",,,APRA Prudential Standard CPS 234 Information Security (July 2019)
DL-THIRDPARTY,Application to information assets managed by a third party,the earlier of the next renewal date of the contract with the third party or 1 July 2020,PARA-6,"Where an APRA-regulated entity’s information assets are managed by a third party, the requirements in this Prudential Standard will apply in relation to those information assets from the earlier of the next renewal date of the contract with the third party or 1 July 2020.",,,APRA Prudential Standard CPS 234 Information Security (July 2019)
