section_id,heading,order,paragraph_range,source_document
SEC-OBJ,Objectives and key requirements of this Prudential Standard,1,,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-AUTH,Authority,2,1,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-APP,Application,3,2-6,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-INT,Interpretation,4,7-10,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-ADJ,Adjustments and exclusions,5,11,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-DEF,Definitions,6,12,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-ROLES,Roles and responsibilities,7,13-14,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-CAP,Information security capability,8,15-17,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-POL,Policy framework,9,18-19,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-CLASS,Information asset identification and classification,10,20,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-IMPL,Implementation of controls,11,21-22,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-INC,Incident management,12,23-26,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-TEST,Testing control effectiveness,13,27-31,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-AUD,Internal audit,14,32-34,APRA Prudential Standard CPS 234 Information Security (July 2019)
SEC-NOT,APRA notification,15,35-36,APRA Prudential Standard CPS 234 Information Security (July 2019)
