keyrequirement_id,order,text,source_document
KR-1,1,"clearly define the information security-related roles and responsibilities of the Board, senior management, governing bodies and individuals;",APRA Prudential Standard CPS 234 Information Security (July 2019)
KR-2,2,"maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity;",APRA Prudential Standard CPS 234 Information Security (July 2019)
KR-3,3,"implement controls to protect its information assets commensurate with the criticality and sensitivity of those information assets, and undertake systematic testing and assurance regarding the effectiveness of those controls; and",APRA Prudential Standard CPS 234 Information Security (July 2019)
KR-4,4,notify APRA of material information security incidents.,APRA Prudential Standard CPS 234 Information Security (July 2019)
