definition_id,term,text,defined_in,source_document
DEF-a,availability,availability refers to accessibility and usability when required;,PARA-12(a),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-b,confidentiality,confidentiality refers to access being restricted only to those authorised;,PARA-12(b),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-c,criticality,criticality refers to the potential impact of a loss of availability;,PARA-12(c),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-d,information asset,"information asset means information and information technology, including software, hardware and data (both soft and hard copy);",PARA-12(d),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-e,information security,"information security means the preservation of an information asset’s confidentiality, integrity and availability;",PARA-12(e),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-f,information security capability,"information security capability means the totality of resources, skills and controls which provide the ability and capacity to maintain information security;",PARA-12(f),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-g,information security control,"information security control means a prevention, detection or response measure to reduce the likelihood or impact of an information security incident;",PARA-12(g),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-h,information security incident,information security incident means an actual or potential compromise of information security;,PARA-12(h),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-i,information security policy framework,"information security policy framework means the totality of policies, standards, guidelines and procedures pertaining to information security;",PARA-12(i),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-j,information security threat (threat),information security threat (threat) is a circumstance or event that has the potential to exploit an information security vulnerability;,PARA-12(j),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-k,information security vulnerability (vulnerability),information security vulnerability (vulnerability) is a weakness in an information asset or information security control that could be exploited to compromise information security;,PARA-12(k),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-l,integrity,"integrity refers to completeness, accuracy and freedom from unauthorised change or usage; and",PARA-12(l),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-m,sensitivity,sensitivity means the potential impact of a loss of confidentiality or integrity.,PARA-12(m),APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-GROUP,group,"‘group’ means a Level 2 group or a Level 3 group, as relevant;",PARA-10,APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-HEAD,Head of a group,"‘Head of a group’ means a Level 2 Head or Level 3 Head, as relevant;",PARA-10,APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-L2GROUP,Level 2 group,‘Level 2 group’ means the entities that comprise: (a) Level 2 as defined in APS 001; or (b) a Level 2 insurance group as defined in GPS 001;,PARA-10,APRA Prudential Standard CPS 234 Information Security (July 2019)
DEF-L2HEAD,Level 2 Head,"‘Level 2 Head’ means: (a) where an ADI that is a member of a Level 2 group is not a subsidiary of an authorised banking NOHC or another ADI, that ADI; (b) where an ADI that is a member of a Level 2 group is a subsidiary of an authorised banking NOHC, that authorised banking NOHC; or (c) the parent entity of a Level 2 insurance group as defined in GPS 001.",PARA-10,APRA Prudential Standard CPS 234 Information Security (July 2019)
