source_id,target_id,rel_type
ENT-ADI,PARA-2(a),DEFINED_IN
ENT-GI,PARA-2(b),DEFINED_IN
ENT-LIFE,PARA-2(c),DEFINED_IN
ENT-PHI,PARA-2(d),DEFINED_IN
ENT-RSE,PARA-2(e),DEFINED_IN
