source_id,target_id,rel_type,provision
CPS234,ACT-BANKING,MADE_UNDER,section 11AF
CPS234,ACT-INSURANCE,MADE_UNDER,section 32
CPS234,ACT-LIFE,MADE_UNDER,section 230A
CPS234,ACT-PHIPS,MADE_UNDER,section 92
CPS234,ACT-SIS,MADE_UNDER,section 34C
