footnote_id,number,attached_to,text,source_document
FN-1,1,PARA-2(e),"For the purposes of this Prudential Standard, an ‘RSE licensee’s business operations’ includes all activities of an RSE licensee (including the activities of each RSE of which it is the licensee), and all other activities of the RSE licensee to the extent that they are relevant to, or may impact on, its activities as an RSE licensee.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-2,2,PARA-4,"Where a Level 2 group operates within a Level 3 group, a requirement expressed as applying to a Head of a group is to be read as applying to the Level 3 Head.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-3,3,PARA-11,"Refer to subsection 11AF(2) of the Banking Act, subsection 32(3D) of the Insurance Act, subsection 230A(4) of the Life Insurance Act, subsection 92(4) of the PHIPS Act and subsection 34C(5) of the SIS Act.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-4,4,PARA-13,"For an RSE licensee, a reference to the Board is to be read as a reference to the Board of directors or group of individual trustees of an RSE licensee, as applicable. ‘Group of individual trustees’ has the meaning given in subsection 10(1) of the SIS Act.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-5,5,PARA-13,"A reference to the Board in the case of a foreign ADI, is a reference to the senior officer outside Australia.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-6,6,PARA-14,"For the purposes of this Prudential Standard, governing bodies and individuals includes committees, working groups and forums.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-7,7,PARA-16,"For the avoidance of doubt, paragraph 16 of this Prudential Standard applies to all information assets managed by related parties and third parties, not only those captured under agreements with service providers of outsourced material business activities under Prudential Standard CPS 231 Outsourcing or Prudential Standard SPS 231 Outsourcing.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-8,8,PARA-19,"For the purpose of paragraph 19 of this Prudential Standard, parties includes governing bodies and individuals with responsibilities referred to in paragraph 14, as well as all other staff, contractors, consultants, related parties, third parties and customers.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-9,9,PARA-21(c),The use of the term ‘life-cycle’ in this context refers to the process from planning and design through to decommissioning and disposal of an information asset.,APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-10,10,PARA-22,"For the avoidance of doubt, paragraph 22 of this Prudential Standard applies to all information assets managed by related parties and third parties, not only those captured under agreements with service providers of outsourced material business activities under Prudential Standard CPS 231 Outsourcing or Prudential Standard SPS 231 Outsourcing.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-11,11,PARA-27(d),Also referred to as an ‘untrusted’ environment.,APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-12,12,PARA-28,"For the avoidance of doubt, paragraph 28 of this Prudential Standard applies to all information assets managed by related parties and third parties, not only those captured under agreements with service providers of outsourced material business activities under Prudential Standard CPS 231 Outsourcing or Prudential Standard SPS 231 Outsourcing.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-13,13,PARA-34(b),"For the avoidance of doubt, paragraph 34 of this Prudential Standard applies to all information assets managed by related parties and third parties, not only those captured under agreements with service providers of outsourced material business activities under Prudential Standard CPS 231 Outsourcing or Prudential Standard SPS 231 Outsourcing.",APRA Prudential Standard CPS 234 Information Security (July 2019)
FN-14,14,PARA-35(b),"For the avoidance of doubt, paragraph 35 of this Prudential Standard applies to notifications of information security incidents not already captured as notifications under Prudential Standard CPS 231 Outsourcing, Prudential Standard SPS 231 Outsourcing, Prudential Standard CPS 232 Business Continuity Management or Prudential Standard SPS 232 Business Continuity Management. Other regulators include domestic government agencies and international regulators.",APRA Prudential Standard CPS 234 Information Security (July 2019)
