source_id,target_id,rel_type,parent_type
Art2,Art2-I,HAS_CLAUSE,Article
Art2,Art2-II,HAS_CLAUSE,Article
Art2,Art2-III,HAS_CLAUSE,Article
Art2,Art2-IV,HAS_CLAUSE,Article
Art2,Art2-V,HAS_CLAUSE,Article
Art2,Art2-VI,HAS_CLAUSE,Article
Art2,Art2-VII,HAS_CLAUSE,Article
Art2,Art2-VIII,HAS_CLAUSE,Article
Art3,Art3-I,HAS_CLAUSE,Article
Art3,Art3-II,HAS_CLAUSE,Article
Art3,Art3-III,HAS_CLAUSE,Article
Art3,Art3-IV,HAS_CLAUSE,Article
Art3,Art3-V,HAS_CLAUSE,Article
Art3,Art3-VI,HAS_CLAUSE,Article
Art3,Art3-VII,HAS_CLAUSE,Article
Art3,Art3-VIII,HAS_CLAUSE,Article
Art3,Art3-IX,HAS_CLAUSE,Article
Art3,Art3-X,HAS_CLAUSE,Article
Art3,Art3-XI,HAS_CLAUSE,Article
Art3,Art3-XII,HAS_CLAUSE,Article
Art3,Art3-XIII,HAS_CLAUSE,Article
Art3,Art3-XIV,HAS_CLAUSE,Article
Art3,Art3-XV,HAS_CLAUSE,Article
Art3,Art3-XVI,HAS_CLAUSE,Article
Art3,Art3-XVII,HAS_CLAUSE,Article
Art3,Art3-XVIII,HAS_CLAUSE,Article
Art3,Art3-XIX,HAS_CLAUSE,Article
Art3,Art3-XX,HAS_CLAUSE,Article
Art3-XX,Art3-XX-a,HAS_CLAUSE,Clause
Art3-XX,Art3-XX-b,HAS_CLAUSE,Clause
Art3-XX,Art3-XX-c,HAS_CLAUSE,Clause
Art3-XX,Art3-XX-d,HAS_CLAUSE,Clause
Art3,Art3-XXI,HAS_CLAUSE,Article
Art3-XXI,Art3-XXI-a,HAS_CLAUSE,Clause
Art3-XXI,Art3-XXI-b,HAS_CLAUSE,Clause
Art3-XXI,Art3-XXI-c,HAS_CLAUSE,Clause
Art3-XXI,Art3-XXI-d,HAS_CLAUSE,Clause
Art3,Art3-XXII,HAS_CLAUSE,Article
Art3,Art3-XXIII,HAS_CLAUSE,Article
Art3,Art3-XXIV,HAS_CLAUSE,Article
Art3,Art3-XXV,HAS_CLAUSE,Article
Art3,Art3-XXVI,HAS_CLAUSE,Article
Art3,Art3-XXVII,HAS_CLAUSE,Article
Art3,Art3-XXVIII,HAS_CLAUSE,Article
Art3,Art3-XXIX,HAS_CLAUSE,Article
Art3,Art3-XXX,HAS_CLAUSE,Article
Art3,Art3-XXXI,HAS_CLAUSE,Article
Art3,Art3-XXXII,HAS_CLAUSE,Article
Art5,Art5-I,HAS_CLAUSE,Article
Art5,Art5-II,HAS_CLAUSE,Article
Art5,Art5-III,HAS_CLAUSE,Article
Art5,Art5-IV,HAS_CLAUSE,Article
Art5,Art5-V,HAS_CLAUSE,Article
Art5,Art5-P2,HAS_CLAUSE,Article
Art6,Art6-P2,HAS_CLAUSE,Article
Art7,Art7-P2,HAS_CLAUSE,Article
Art8,Art8-P2,HAS_CLAUSE,Article
Art9,Art9-P2,HAS_CLAUSE,Article
Art12,Art12-P2,HAS_CLAUSE,Article
Art14,Art14-I,HAS_CLAUSE,Article
Art14,Art14-II,HAS_CLAUSE,Article
Art14,Art14-III,HAS_CLAUSE,Article
Art14,Art14-P2,HAS_CLAUSE,Article
Art15,Art15-P2,HAS_CLAUSE,Article
Art15,Art15-P3,HAS_CLAUSE,Article
Art15,Art15-P4,HAS_CLAUSE,Article
Art16,Art16-I,HAS_CLAUSE,Article
Art16,Art16-II,HAS_CLAUSE,Article
Art16,Art16-III,HAS_CLAUSE,Article
Art16,Art16-IV,HAS_CLAUSE,Article
Art16,Art16-V,HAS_CLAUSE,Article
Art16,Art16-VI,HAS_CLAUSE,Article
Art16,Art16-VII,HAS_CLAUSE,Article
Art16,Art16-VIII,HAS_CLAUSE,Article
Art16,Art16-IX,HAS_CLAUSE,Article
Art16,Art16-X,HAS_CLAUSE,Article
Art17,Art17-P2,HAS_CLAUSE,Article
Art17,Art17-P3,HAS_CLAUSE,Article
Art17,Art17-P4,HAS_CLAUSE,Article
Art18,Art18-P2,HAS_CLAUSE,Article
Art20,Art20-P2,HAS_CLAUSE,Article
Art20,Art20-P3,HAS_CLAUSE,Article
Art20,Art20-P4,HAS_CLAUSE,Article
Art21,Art21-I,HAS_CLAUSE,Article
Art21,Art21-II,HAS_CLAUSE,Article
Art21,Art21-III,HAS_CLAUSE,Article
Art21,Art21-IV,HAS_CLAUSE,Article
Art21,Art21-V,HAS_CLAUSE,Article
Art21,Art21-VI,HAS_CLAUSE,Article
Art21,Art21-VII,HAS_CLAUSE,Article
Art21-VII,Art21-VII-a,HAS_CLAUSE,Clause
Art21-VII,Art21-VII-b,HAS_CLAUSE,Clause
Art21,Art21-VIII,HAS_CLAUSE,Article
Art21,Art21-IX,HAS_CLAUSE,Article
Art21,Art21-P2,HAS_CLAUSE,Article
Art22,Art22-P2,HAS_CLAUSE,Article
Art24,Art24-I,HAS_CLAUSE,Article
Art24,Art24-II,HAS_CLAUSE,Article
Art24,Art24-III,HAS_CLAUSE,Article
Art24,Art24-IV,HAS_CLAUSE,Article
Art24,Art24-V,HAS_CLAUSE,Article
Art24,Art24-VI,HAS_CLAUSE,Article
Art24,Art24-VII,HAS_CLAUSE,Article
Art24,Art24-VIII,HAS_CLAUSE,Article
Art26,Art26-I,HAS_CLAUSE,Article
Art26,Art26-II,HAS_CLAUSE,Article
Art26,Art26-III,HAS_CLAUSE,Article
Art26,Art26-IV,HAS_CLAUSE,Article
Art26,Art26-V,HAS_CLAUSE,Article
Art26,Art26-VI,HAS_CLAUSE,Article
Art26,Art26-VII,HAS_CLAUSE,Article
Art26,Art26-VIII,HAS_CLAUSE,Article
Art27,Art27-I,HAS_CLAUSE,Article
Art27,Art27-II,HAS_CLAUSE,Article
Art27,Art27-III,HAS_CLAUSE,Article
Art27,Art27-IV,HAS_CLAUSE,Article
Art27,Art27-V,HAS_CLAUSE,Article
Art27,Art27-VI,HAS_CLAUSE,Article
Art27,Art27-VII,HAS_CLAUSE,Article
Art27,Art27-VIII,HAS_CLAUSE,Article
Art28,Art28-P2,HAS_CLAUSE,Article
Art29,Art29-I,HAS_CLAUSE,Article
Art29,Art29-II,HAS_CLAUSE,Article
Art29,Art29-III,HAS_CLAUSE,Article
Art29,Art29-IV,HAS_CLAUSE,Article
Art29,Art29-V,HAS_CLAUSE,Article
Art29,Art29-VI,HAS_CLAUSE,Article
Art29,Art29-VII,HAS_CLAUSE,Article
Art30,Art30-I,HAS_CLAUSE,Article
Art30,Art30-II,HAS_CLAUSE,Article
Art30,Art30-III,HAS_CLAUSE,Article
Art30,Art30-IV,HAS_CLAUSE,Article
Art32,Art32-I,HAS_CLAUSE,Article
Art32,Art32-II,HAS_CLAUSE,Article
Art32,Art32-III,HAS_CLAUSE,Article
Art32,Art32-IV,HAS_CLAUSE,Article
Art35,Art35-I,HAS_CLAUSE,Article
Art35,Art35-II,HAS_CLAUSE,Article
Art35,Art35-III,HAS_CLAUSE,Article
Art35,Art35-IV,HAS_CLAUSE,Article
Art35,Art35-V,HAS_CLAUSE,Article
Art36,Art36-P2,HAS_CLAUSE,Article
Art41,Art41-I,HAS_CLAUSE,Article
Art41,Art41-II,HAS_CLAUSE,Article
Art43,Art43-P2,HAS_CLAUSE,Article
Art43,Art43-P3,HAS_CLAUSE,Article
