article_id,article_number,title,chapter_id,section_id,chapeau_text,is_deleted,source_document
ART_26,26,Limitation to Personal Information Processing Subsequent to Outsourcing of Work,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_27,27,"Limitation to Transfer of Personal Information following Business Transfer, etc.",CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28,28,Supervision of Personal Information Handlers,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-2,28-2,Processing of Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-3,28-3,Restriction on Combination of Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-4,28-4,Obligation to Take Safety Measures for Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-5,28-5,Prohibited Acts for the Processing of the Pseudonymized Information,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-6,28-6,Imposition of Administrative Surcharges for the Processing of the Pseudonymized Information,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-7,28-7,Scope of Application,CH_III,CH_III_S3,"@Articles 20, 21, 27, 34 (1), 35 through 37, 39-3, 39-4, 39-6 through 39-8 shall not apply to the pseudonymized information.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_29,29,Duty of Safeguards,CH_IV,,"Every personal information controller shall take such technical, managerial, and physical measures as establishing an internal management plan and preserving access records, etc. that are necessary to ensure safety as prescribed by Presidential Decree so that the personal information may not be lost, stolen, divulged, forged, altered, or damaged. <Amended by Act No. 13423, Jul. 24, 2015>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30,30,Establishment and Disclosure of Privacy Policy,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31,31,Designation of Privacy Officers,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32,32,Registration and Disclosure of Personal Information Files,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2,32-2,Certification of Personal Information Protection,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33,33,Privacy Impact Assessment,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34,34,Data Breach Notification,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34-2,34-2,"Imposition, etc. of Penalty Surcharges",CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35,35,Access to Personal Information,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_36,36,Rectification or Erasure of Personal Information,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_37,37,Suspension of Processing of Personal Information,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_38,38,Methods and Procedures for Exercise of Rights,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39,39,Responsibility for Compensation,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-2,39-2,Claims for Statutory Compensation,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-3,39-3,Special Cases on Consent to the Collection and Use of Personal Information,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-4,39-4,Special Cases on the Notification and Reporting on the Divulgence of Personal Information,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-5,39-5,Special Cases on Safeguards for Personal Information,CH_VI,,"Information and communications service provider, etc. shall limit the number of persons who process users’ personal information to the minimum extent.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-6,39-6,Special Cases on the Destruction of Personal Information,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-7,39-7,Special Cases on Users’ Rights,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-8,39-8,Notification of the Use History of Personal Information,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-9,39-9,Indemnity for Losses,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-10,39-10,Deletion and Blocking of Exposed Personal Information,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-11,39-11,Designation of Domestic Agents,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-12,39-12,Protection of Information Transferred Overseas,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-13,39-13,Reciprocity,CH_VI,,"Notwithstanding Article 39-12, information and communications service providers, etc. in a country that restricts cross-border transfer may face an equivalent level of restrictions in another country: Provided, That this shall not apply where cross-border transfer is necessary to implement a pact or other international arrangements.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-14,39-14,Special Cases for Broadcasting Service Providers,CH_VI,,"If entities falling under subparagraphs 3 (a) through (e), 6, 9, 12 and 14 of Article 2 of the Broadcasting Act (hereinafter referred to as “broadcasting service provider, etc.”) process the personal information of viewers, the broadcasting service provider, etc. shall observe regulations applicable to an information and communications service provider, etc. In such cases, “broadcasting service provider, etc.” shall be deemed to be “information and communications service provider, etc.” and “viewers” to be “users.”",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_39-15,39-15,Special Cases for the Imposition of Administrative Surcharges,CH_VI,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_40,40,Establishment and Composition,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_41,41,Guarantee of Members’ Status,CH_VII,,"None of the Committee members shall be dismissed or de-commissioned against his or her will except when he or she is sentenced to the suspension of qualification or a heavier punishment, or unable to perform his or her duties due to mental or physical incompetence.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_42,42,"Exclusion, Recusal, and Refrainment of Members",CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_43,43,Application for Mediation,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_44,44,Time Limitation of Mediation Proceedings,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_45,45,Request for Materials,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_46,46,Settlement Advice before Mediation,CH_VII,,"Upon receipt of an application for dispute mediation pursuant to Article 43 (1), the Dispute Mediation Committee may present a draft settlement to the disputing parties and recommend a settlement before mediation.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_47,47,Dispute Mediation,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_48,48,Rejection and Suspension of Mediation,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_49,49,Collective Dispute Mediation,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_50,50,Mediation Procedures,CH_VII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51,51,Parties to Class Action Lawsuit,CH_VIII,,Any of the following organizations may file a lawsuit (hereinafter referred to as “class action lawsuit”) with the court to prevent or suspend an infringement with respect to personal information if a personal information controller rejects or would not accept the collective dispute mediation under Article 49:,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_52,52,Exclusive Jurisdictions,CH_VIII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_53,53,Retention of Litigation Attorney,CH_VIII,,The plaintiff of a class-action lawsuit shall retain an attorney-at-law as a litigation attorney.,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_54,54,Application for Permission of Lawsuit,CH_VIII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_55,55,Requirements for Permission of Lawsuit,CH_VIII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_56,56,Effect of Conclusive Judgment,CH_VIII,,"When a judgment dismissing a plaintiff's complaint becomes conclusive, any other organizations provided for in Article 51 cannot file a class-action lawsuit regarding the identical case: Provided, That this shall not apply in any of the following circumstances:",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_57,57,Application of Civil Procedure Act,CH_VIII,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58,58,Partial Exclusion of Application,CH_IX,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_58-2,58-2,Exemption from Application,CH_IX,,"This Act shall not apply to information that no longer identifies a certain individual when combined with other information, reasonably considering time, cost, technology, etc.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
