item_id,subparagraph_id,article_id,item_letter,text,source_document
ART_2_SP1_ITa,ART_2_SP1,ART_2,a,"Information that identifies a particular individual by his or her full name, resident registration number, image, etc.;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP1_ITb,ART_2_SP1,ART_2,b,"Information which, even if it by itself does not identify a particular individual, may be easily combined with other information to identify a particular individual. In such cases, whether or not there is ease of combination shall be determined by reasonably considering the time, cost, technology, etc. used to identify the individual such as likelihood that the other information can be procured;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP1_ITc,ART_2_SP1,ART_2,c,Information under items (a) or (b) above that is pseudonymized in accordance with subparagraph 1-2 below and thereby becomes incapable of identifying a particular individual without the use or combination of information for restoration to the original state (hereinafter referred to as “pseudonymized information”);,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP6_ITa,ART_2_SP6,ART_2,a,"The administrative bodies of the National Assembly, the Courts, the Constitutional Court, and the National Election Commission; the central administrative agencies (including agencies under the Presidential Office and the Prime Minister’s Office) and their affiliated entities; and local governments;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP6_ITb,ART_2_SP6,ART_2,b,Other national agencies and public entities prescribed by Presidential Decree;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3_ITa,ART_35_P4_SP3,ART_35,a,"Imposition, collection or refund of taxes;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3_ITb,ART_35_P4_SP3,ART_35,b,"Evaluation of academic achievements or admission affairs at the schools of each level established under the Elementary and Secondary Education Act and the Higher Education Act, lifelong educational facilities established under the Lifelong Education Act, and other higher educational institutions established under other Acts;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3_ITc,ART_35_P4_SP3,ART_35,c,"Testing and qualification examination regarding academic competence, technical capability and employment;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3_ITd,ART_35_P4_SP3,ART_35,d,Ongoing evaluation or decision-making in relation to compensation or grant assessment;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35_P4_SP3_ITe,ART_35_P4_SP3,ART_35,e,Ongoing audit and examination under other Acts.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP1_ITa,ART_51_SP1,ART_51,a,Its by-laws shall constantly state the purpose to augment the rights and interests of data subjects;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP1_ITb,ART_51_SP1,ART_51,b,The number of full members shall exceed 1000;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP1_ITc,ART_51_SP1,ART_51,c,Three years shall have passed since the registration under Article 29 of the Framework Act on Consumers;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP2_ITa,ART_51_SP2,ART_51,a,"At least 100 data subjects, who experienced the same infringement as a matter of law or fact, shall submit a request to file a class action lawsuit;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP2_ITb,ART_51_SP2,ART_51,b,Its by-laws shall state the purpose of data protection and it has conducted such activities for the most recent 3 years;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP2_ITc,ART_51_SP2,ART_51,c,The number of regular members shall be at least 5000;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_51_SP2_ITd,ART_51_SP2,ART_51,d,It shall be registered with any central administrative agency.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
