subparagraph_id,article_id,paragraph_id,subparagraph_number,text,source_document
ART_2_SP1,ART_2,,1,"The term ""personal information"" means any of the following information relating to a living individual:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP1-2,ART_2,,1-2,"The term “pseudonymization” means a procedure to process personal information so that the information cannot identify a particular individual without additional information, by deleting in part, or replacing in whole or in part, such information;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP2,ART_2,,2,"The term “processing” means the collection, generation, connecting, interlocking, recording, storage, retention, value-added processing, editing, searching, output, correction, recovery, use, provision, disclosure, and destruction of personal information and other similar activities;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP3,ART_2,,3,The term “data subject” means an individual who is identifiable through the information processed and is the subject of that information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP4,ART_2,,4,The term “personal information file” means a set or sets of personal information arranged or organized in a systematic manner based on a certain rule for easy search of the personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP5,ART_2,,5,"The term “personal information controller” means a public institution, legal person, organization, individual, etc. that processes personal information directly or indirectly to operate the personal information files as part of its activities;",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP6,ART_2,,6,"The term ""public institution"" means any of the following institutions:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP7,ART_2,,7,"The term ""visual data processing devices"" means the devices prescribed by Presidential Decree, which are continuously installed at a certain place to take pictures of persons or images of things, or transmit such pictures or images via wired or wireless networks.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2_SP8,ART_2,,8,"The term “scientific research” means research that applies scientific methods, such as technological development and demonstration, fundamental research, applied research and privately funded research.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_4_SP1,ART_4,,1,The right to be informed of the processing of such personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_4_SP2,ART_4,,2,The right to determine whether or not to consent and the scope of consent regarding the processing of such personal information;,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
