addendum_id,act_no,heading,text,source_document
ADD_10465,10465,ADDENDA,,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_11690,11690,"ADDENDA <Act No. 11690, Mar. 23, 2013>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_11990,11990,"ADDENDA <Act No. 11990, Aug. 6, 2013>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_12504,12504,"ADDENDUM <Act No. 12504, Mar. 24, 2014>","This Act shall enter into force on the date of its promulgation: Provided, That the amended provisions of Articles 24-2 and 75 (2) 5 of the Personal Information Protection Act (Act No. 11990) shall enter into force on January 1, 2016.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_12844,12844,"ADDENDA <Act No. 12844, Nov. 19, 2014>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_13423,13423,"ADDENDA <Act No. 13423, Jul. 24, 2015>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_14107,14107,"ADDENDA <Act No. 14107, Mar. 29, 2016>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_14765,14765,"ADDENDUM <Act No. 14765, Apr. 18, 2017>",This Act shall enter into force six months after the date of its promulgation.,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_14839,14839,"ADDENDA <Act No. 14839, Jul. 26, 2017>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ADD_16930,16930,"ADDENDA <Act No. 16930, Feb. 4, 2020>",,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
