penalty_id,article_number,clause_id,sanction_type,max_imprisonment,max_monetary,text,source_document
PEN_ART_28-6_P1,28-6,ART_28-6_P1,penalty surcharge / administrative surcharge,,fine equivalent to less than three-hundredths of total sales on data controller who has processed data for the purpose of identifying a specific individual in violation of Article 28-5 (1),"The Commission may impose a fine equivalent to less than three-hundredths of total sales on data controller who has processed data for the purpose of identifying a specific individual in violation of Article 28-5 (1): Provided, That in case where there is no sales or difficulty in calculating the sales revenues, the data controller may be subject to a fine of not more than 400 million won or three- hundredths of the capital amount, whichever is greater.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_34-2_P1,34-2,ART_34-2_P1,penalty surcharge / administrative surcharge,,"penalty surcharge not exceeding 500 million won where a personal information controller has failed to prevent any loss, theft, divulgence, forgery, alteration, or damage of resident registration numbers","The Protection Commission may impose and collect a penalty surcharge not exceeding 500 million won where a personal information controller has failed to prevent any loss, theft, divulgence, forgery, alteration, or damage of resident registration numbers: Provided, That this shall not apply where the personal information controller has fully taken measures necessary to ensure safety under Article 24 (3) to prevent any loss, theft, divulgence, forgery, alteration, or damage of resident registration numbers. <Amended by Act No. 12844, Nov. 19, 2014; Act No. 13423, Jul. 24, 2015; Act No. 14839, Jul. 26, 2017; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_39-15_P1,39-15,ART_39-15_P1,penalty surcharge / administrative surcharge,,administrative surcharges not exceeding 3/100 of the total revenues relating to the concerned violation,"Upon information and communications service provider, etc. conducting any of the following acts, the Protection Commission may impose administrative surcharges not exceeding 3/100 of the total revenues relating to the concerned violation:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_70,70,ART_70,criminal penalty,imprisonment with labor for not more than 10 years,fine not exceeding 100 million won,"Any of the following persons shall be punished by imprisonment with labor for not more than 10 years, or by a fine not exceeding 100 million won: <Amended by Act No. 13423, Jul. 24, 2015>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_71,71,ART_71,criminal penalty,imprisonment with labor for not more than 5 years,fine not exceeding 50 million won,"Any of the following persons shall be punished by imprisonment with labor for not more than 5 years, or by a fine not exceeding 50 million won: <Amended by Act No. 14107, Mar. 29, 2016; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_72,72,ART_72,criminal penalty,imprisonment with labor for not more than 3 years,fine not exceeding 30 million won,"Any of the following persons shall be punished by imprisonment with labor for not more than 3 years, or by a fine not exceeding 30 million won:",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_73,73,ART_73,criminal penalty,imprisonment with labor for not more than 2 years,fine not exceeding 20 million won,"Any of the following persons shall be punished by imprisonment with labor for not more than 2 years, or by a fine not exceeding 20 million won: <Amended by Act No. 13423, Jul. 24, 2015; Act No. 14107, Mar. 29, 2016; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_74_P1,74,ART_74_P1,criminal penalty,,fine not exceeding 70 million won,"If the representative of a corporation, or an agent or employee of, or any other person employed by, a corporation or an individual commits any of the offenses provided for in Article 70 in connection with the business affairs of the corporation or individual, not only shall such offender be punished, but also the corporation or individual shall be punished by a fine not exceeding 70 million won: Provided, That the same shall not apply where such corporation or individual has not been negligent in taking due care and supervisory activities concerning the relevant business affairs to prevent such offense.",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_75_P1,75,ART_75_P1,administrative fine,,administrative fine not exceeding 50 million won,"Any of the following persons shall be subject to an administrative fine not exceeding 50 million won: <Amended by Act No. 14765, Apr. 18, 2017>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_75_P2,75,ART_75_P2,administrative fine,,administrative fine not exceeding 30 million won,"Any of the following persons shall be subject to an administrative fine not exceeding 30 million won: <Amended by Act No. 11990, Aug. 6, 2013; Act No. 12504, Mar. 24, 2014; Act No. 13423, Jul. 24, 2015; Act No. 14107, Mar. 29, 2016; Act No. 14765, Apr. 18, 2017; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_75_P3,75,ART_75_P3,administrative fine,,administrative fine not exceeding 20 million won,"Any of the following persons shall be subject to an administrative fine not exceeding 20 million won: <Newly Inserted by Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
PEN_ART_75_P4,75,ART_75_P4,administrative fine,,administrative fine not exceeding 10 million won,"Any of the following persons shall be subject to an administrative fine not exceeding 10 million won: <Amended by Act No. 14765, Apr. 18, 2017; Act No. 16930, Feb. 4, 2020>",KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
