section_id,section_number,title,chapter_id,source_document
CH_III_S1,1,"Collection, Use, Provision, etc. of Personal Information",CH_III,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
CH_III_S2,2,Limitation to Processing of Personal Information,CH_III,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
CH_III_S3,3,Special Cases concerning Pseudonymous Data,CH_III,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
