amendment_id,act_no,date,role,source_document
AMD_10465,10465,"Mar. 29, 2011",Enacted,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_11690,11690,"Mar. 23, 2013",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_11990,11990,"Aug. 6, 2013",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_12504,12504,"Mar. 24, 2014",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_12844,12844,"Nov. 19, 2014",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_13423,13423,"Jul. 24, 2015",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_14107,14107,"Mar. 29, 2016",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_14765,14765,"Apr. 18, 2017",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_14839,14839,"Jul. 26, 2017",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
AMD_16930,16930,"Feb. 4, 2020",Amended by,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
