right_id,right_number,text,clause_id,source_document
RIGHT_1,1,The right to be informed of the processing of such personal information;,ART_4_SP1,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
RIGHT_2,2,The right to determine whether or not to consent and the scope of consent regarding the processing of such personal information;,ART_4_SP2,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
RIGHT_3,3,The right to confirm whether or not personal information is being processed and to request access (including the provision of copies; hereinafter the same applies) to such personal information;,ART_4_SP3,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
RIGHT_4,4,"The right to suspend the processing of, and to request correction, deletion, and destruction of such personal information;",ART_4_SP4,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
RIGHT_5,5,The right to appropriate redress for any damage arising out of the processing of such personal information through a prompt and fair procedure.,ART_4_SP5,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
