point_id,parent_id,label,level,point_kind,text,source_line,source_document
art_1_p2_a,art_1_p2,a,1,point,"harmonised rules for the placing on the market, the putting into service, and the use of AI systems in the Union;",3035,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_b,art_1_p2,b,1,point,prohibitions of certain AI practices;,3039,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_c,art_1_p2,c,1,point,specific requirements for high-risk AI systems and obligations for operators of such systems;,3041,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_d,art_1_p2,d,1,point,harmonised transparency rules for certain AI systems;,3043,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_e,art_1_p2,e,1,point,harmonised rules for the placing on the market of general-purpose AI models;,3045,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_f,art_1_p2,f,1,point,"rules on market monitoring, market surveillance, governance and enforcement;",3047,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_1_p2_g,art_1_p2,g,1,point,"measures to support innovation, with a particular focus on SMEs, including start-ups.",3049,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_a,art_2_p1,a,1,point,"providers placing on the market or putting into service AI systems or placing on the market general-purpose AI models in the Union, irrespective of whether those providers are established or located within the Union or in a third country;",3058,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_b,art_2_p1,b,1,point,deployers of AI systems that have their place of establishment or are located within the Union;,3061,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_c,art_2_p1,c,1,point,"providers and deployers of AI systems that have their place of establishment or are located in a third country, where the output produced by the AI system is used in the Union;",3063,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_d,art_2_p1,d,1,point,importers and distributors of AI systems;,3066,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_e,art_2_p1,e,1,point,product manufacturers placing on the market or putting into service an AI system together with their product and under their own name or trademark;,3068,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_f,art_2_p1,f,1,point,"authorised representatives of providers, which are not established in the Union;",3071,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2_p1_g,art_2_p1,g,1,point,affected persons that are located in the Union.,3073,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n1,art_3_p0,(1),1,numbered_point,"‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments;",3137,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n2,art_3_p0,(2),1,numbered_point,‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm;,3142,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n3,art_3_p0,(3),1,numbered_point,"‘provider’ means a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge;",3144,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n4,art_3_p0,(4),1,numbered_point,"‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity;",3148,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n5,art_3_p0,(5),1,numbered_point,"‘authorised representative’ means a natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by this Regulation;",3151,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n6,art_3_p0,(6),1,numbered_point,‘importer’ means a natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country;,3155,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3_p0_n7,art_3_p0,(7),1,numbered_point,"‘distributor’ means a natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market;",3158,KB 2/Europe/EU Artificial Intelligence Act.pdf
