chapter_id,number,title,source_line,source_document
ch_I,I,GENERAL PROVISIONS,3016,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_II,II,PROHIBITED AI PRACTICES,3450,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_III,III,HIGH-RISK AI SYSTEMS,3615,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IV,IV,TRANSPARENCY OBLIGATIONS FOR PROVIDERS AND DEPLOYERS OF CERTAIN AI SYSTEMS,5579,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_V,V,GENERAL-PURPOSE AI MODELS,5641,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_VI,VI,MEASURES IN SUPPORT OF INNOVATION,5965,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_VII,VII,GOVERNANCE,6451,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_VIII,VIII,EU DATABASE FOR HIGH-RISK AI SYSTEMS,6770,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX,IX,"POST-MARKET MONITORING, INFORMATION SHARING AND MARKET SURVEILLANCE",6811,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_X,X,CODES OF CONDUCT AND GUIDELINES,7656,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_XI,XI,DELEGATION OF POWER AND COMMITTEE PROCEDURE,7739,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_XII,XII,PENALTIES,7794,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_XIII,XIII,FINAL PROVISIONS,7988,KB 2/Europe/EU Artificial Intelligence Act.pdf
