deadline_id,date,source_document
dl_1,2 February 2026,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_2,2 May 2025,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_3,2 August 2025,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_4,2 August 2026,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_5,2 November 2024,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_6,1 August 2024,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_7,13 April 2016,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_8,13 June 2024,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_9,2 August 2027,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_10,31 December 2030,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_11,2 August 2030,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_12,2 August 2028,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_13,2 August 2029,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_14,2 August 2031,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_15,24 January 2024,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_16,2 February 2025,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_17,17 May 2006,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_18,18 June 2009,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_19,20 November 2013,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_20,26 February 2014,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_21,16 April 2014,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_22,15 May 2014,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_23,9 March 2016,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_24,5 April 2017,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_25,11 March 2008,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_26,15 January 2013,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_27,5 February 2013,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_28,23 July 2014,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_29,11 May 2016,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_30,30 May 2018,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_31,27 November 2019,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_32,4 July 2018,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_33,28 November 2018,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_34,7 July 2021,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_35,14 May 2024,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_36,30 November 2017,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_37,12 September 2018,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_38,17 April 2019,KB 2/Europe/EU Artificial Intelligence Act.pdf
dl_39,20 May 2019,KB 2/Europe/EU Artificial Intelligence Act.pdf
