penalty_id,provision_id,article_id,max_fine_eur,max_turnover_percent,text,source_line,source_document
pen_1,art_99_p3,art_99,35 000 000,7,"Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.",7813,KB 2/Europe/EU Artificial Intelligence Act.pdf
pen_2,art_99_p4,art_99,15 000 000,3,"Non-compliance with any of the following provisions related to operators or notified bodies, other than those laid down in Articles 5, shall be subject to administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up to 3 % of its total worldwide annual turnover for the preceding financial year, whichever is higher:",7817,KB 2/Europe/EU Artificial Intelligence Act.pdf
pen_3,art_99_p5,art_99,7 500 000,1,"The supply of incorrect, incomplete or misleading information to notified bodies or national competent authorities in reply to a request shall be subject to administrative fines of up to EUR 7 500 000 or, if the offender is an undertaking, up to 1 % of its total worldwide annual turnover for the preceding financial year, whichever is higher.",7838,KB 2/Europe/EU Artificial Intelligence Act.pdf
pen_4,art_100_p2,art_100,1 500 000,,Non-compliance with the prohibition of the AI practices referred to in Article 5 shall be subject to administrative fines of up to EUR 1 500 000.,7923,KB 2/Europe/EU Artificial Intelligence Act.pdf
pen_5,art_100_p3,art_100,750 000,,"The non-compliance of the AI system with any requirements or obligations under this Regulation, other than those laid down in Article 5, shall be subject to administrative fines of up to EUR 750 000.",7926,KB 2/Europe/EU Artificial Intelligence Act.pdf
pen_6,art_101_p1,art_101,15 000 000,3,"The Commission may impose on providers of general-purpose AI models fines not exceeding 3 % of their annual total worldwide turnover in the preceding financial year or EUR 15 000 000, whichever is higher., when the Commission finds that the provider intentionally or negligently:",7950,KB 2/Europe/EU Artificial Intelligence Act.pdf
