annex_section_id,annex_id,label,title,source_line,source_document
annexI_sA,annexI,Section A,List of Union harmonisation legislation based on the New Legislative Framework,8333,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexI_sB,annexI,Section B,List of other Union harmonisation legislation,8387,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVIII_sA,annexVIII,Section A,Information to be submitted by providers of high-risk AI systems in accordance with Article 49(1) The following information shall be provided and thereafter kept up to date with regard to high-risk AI systems to be registered in accordance with Article 49(1):,8875,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVIII_sB,annexVIII,Section B,Information to be submitted by providers of high-risk AI systems in accordance with Article 49(2) The following information shall be provided and thereafter kept up to date with regard to AI systems to be registered in accordance with Article 49(2):,8911,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexVIII_sC,annexVIII,Section C,Information to be submitted by deployers of high-risk AI systems in accordance with Article 49(3) The following information shall be provided and thereafter kept up to date with regard to high-risk AI systems to be registered in accordance with Article 49(3):,8934,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexXI_s2,annexXI,Section 2,Additional information to be provided by providers of general-purpose AI models with systemic risk,9118,KB 2/Europe/EU Artificial Intelligence Act.pdf
