article_id,number,title,chapter_id,section_id,source_line,source_document
art_1,1,Subject matter,ch_I,,3022,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_2,2,Scope,ch_I,,3053,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_3,3,Definitions,ch_I,,3132,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_4,4,AI literacy,ch_I,,3438,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_5,5,Prohibited AI practices,ch_II,,3456,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_6,6,Classification rules for high-risk AI systems,ch_III,ch_III_s1,3625,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_7,7,Amendments to Annex III,ch_III,ch_III_s1,3702,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_8,8,Compliance with the requirements,ch_III,ch_III_s2,3775,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_9,9,Risk management system,ch_III,ch_III_s2,3796,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_10,10,Data and data governance,ch_III,ch_III_s2,3879,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_11,11,Technical documentation,ch_III,ch_III_s2,3962,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_12,12,Record-keeping,ch_III,ch_III_s2,3991,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_13,13,Transparency and provision of information to deployers,ch_III,ch_III_s2,4019,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_14,14,Human oversight,ch_III,ch_III_s2,4083,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_15,15,"Accuracy, robustness and cybersecurity",ch_III,ch_III_s2,4147,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_16,16,Obligations of providers of high-risk AI systems,ch_III,ch_III_s3,4200,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_17,17,Quality management system,ch_III,ch_III_s3,4237,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_18,18,Documentation keeping,ch_III,ch_III_s3,4299,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_19,19,Automatically generated logs,ch_III,ch_III_s3,4331,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_20,20,Corrective actions and duty of information,ch_III,ch_III_s3,4349,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_21,21,Cooperation with competent authorities,ch_III,ch_III_s3,4369,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_22,22,Authorised representatives of providers of high-risk AI systems,ch_III,ch_III_s3,4389,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_23,23,Obligations of importers,ch_III,ch_III_s3,4433,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_24,24,Obligations of distributors,ch_III,ch_III_s3,4484,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_25,25,Responsibilities along the AI value chain,ch_III,ch_III_s3,4525,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_26,26,Obligations of deployers of high-risk AI systems,ch_III,ch_III_s3,4579,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_27,27,Fundamental rights impact assessment for high-risk AI systems,ch_III,ch_III_s3,4699,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_28,28,Notifying authorities,ch_III,ch_III_s4,4761,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_29,29,Application of a conformity assessment body for notification,ch_III,ch_III_s4,4796,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_30,30,Notification procedure,ch_III,ch_III_s4,4825,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_31,31,Requirements relating to notified bodies,ch_III,ch_III_s4,4853,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_32,32,Presumption of conformity with requirements relating to notified bodies,ch_III,ch_III_s4,4922,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_33,33,Subsidiaries of notified bodies and subcontracting,ch_III,ch_III_s4,4933,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_34,34,Operational obligations of notified bodies,ch_III,ch_III_s4,4951,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_35,35,Identification numbers and lists of notified bodies,ch_III,ch_III_s4,4970,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_36,36,Changes to notifications,ch_III,ch_III_s4,4982,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_37,37,Challenge to the competence of notified bodies,ch_III,ch_III_s4,5091,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_38,38,Coordination of notified bodies,ch_III,ch_III_s4,5117,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_39,39,Conformity assessment bodies of third countries,ch_III,ch_III_s4,5135,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_40,40,Harmonised standards and standardisation deliverables,ch_III,ch_III_s5,5149,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_41,41,Common specifications,ch_III,ch_III_s5,5185,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_42,42,Presumption of conformity with certain requirements,ch_III,ch_III_s5,5255,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_43,43,Conformity assessment,ch_III,ch_III_s5,5273,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_44,44,Certificates,ch_III,ch_III_s5,5347,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_45,45,Information obligations of notified bodies,ch_III,ch_III_s5,5373,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_46,46,Derogation from conformity assessment procedure,ch_III,ch_III_s5,5422,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_47,47,EU declaration of conformity,ch_III,ch_III_s5,5473,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_48,48,CE marking,ch_III,ch_III_s5,5508,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_49,49,Registration,ch_III,ch_III_s5,5537,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_50,50,Transparency obligations for providers and deployers of certain AI systems,ch_IV,,5584,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_51,51,Classification of general-purpose AI models as general-purpose AI models with systemic risk,ch_V,ch_V_s1,5651,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_52,52,Procedure,ch_V,ch_V_s1,5674,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_53,53,Obligations for providers of general-purpose AI models,ch_V,ch_V_s2,5727,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_54,54,Authorised representatives of providers of general-purpose AI models,ch_V,ch_V_s2,5795,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_55,55,Obligations of providers of general-purpose AI models with systemic risk,ch_V,ch_V_s3,5853,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_56,56,Codes of practice,ch_V,ch_V_s4,5888,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_57,57,AI regulatory sandboxes,ch_VI,,5970,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_58,58,"Detailed arrangements for, and functioning of, AI regulatory sandboxes",ch_VI,,6101,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_59,59,Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory sandbox,ch_VI,,6170,KB 2/Europe/EU Artificial Intelligence Act.pdf
art_60,60,Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,ch_VI,,6243,KB 2/Europe/EU Artificial Intelligence Act.pdf
