definition_id,number,term,definition,definition_body,point_id,source_line,source_document
def_1,1,AI system,"‘AI system’ means a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments;","a machine-based system that is designed to operate with varying levels of autonomy and that may exhibit adaptiveness after deployment, and that, for explicit or implicit objectives, infers, from the input it receives, how to generate outputs such as predictions, content, recommendations, or decisions that can influence physical or virtual environments;",art_3_p0_n1,3137,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_2,2,risk,‘risk’ means the combination of the probability of an occurrence of harm and the severity of that harm;,the combination of the probability of an occurrence of harm and the severity of that harm;,art_3_p0_n2,3142,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_3,3,provider,"‘provider’ means a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge;","a natural or legal person, public authority, agency or other body that develops an AI system or a general-purpose AI model or that has an AI system or a general-purpose AI model developed and places it on the market or puts the AI system into service under its own name or trademark, whether for payment or free of charge;",art_3_p0_n3,3144,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_4,4,deployer,"‘deployer’ means a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity;","a natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity;",art_3_p0_n4,3148,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_5,5,authorised representative,"‘authorised representative’ means a natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by this Regulation;","a natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by this Regulation;",art_3_p0_n5,3151,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_6,6,importer,‘importer’ means a natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country;,a natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established in a third country;,art_3_p0_n6,3155,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_7,7,distributor,"‘distributor’ means a natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market;","a natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market;",art_3_p0_n7,3158,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_8,8,operator,"‘operator’ means a provider, product manufacturer, deployer, authorised representative, importer or distributor;","a provider, product manufacturer, deployer, authorised representative, importer or distributor;",art_3_p0_n8,3161,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_9,9,placing on the market,‘placing on the market’ means the first making available of an AI system or a general-purpose AI model on the Union market;,the first making available of an AI system or a general-purpose AI model on the Union market;,art_3_p0_n9,3165,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_10,10,making available on the market,"‘making available on the market’ means the supply of an AI system or a general-purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge;","the supply of an AI system or a general-purpose AI model for distribution or use on the Union market in the course of a commercial activity, whether in return for payment or free of charge;",art_3_p0_n10,3168,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_11,11,putting into service,‘putting into service’ means the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose;,the supply of an AI system for first use directly to the deployer or for own use in the Union for its intended purpose;,art_3_p0_n11,3171,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_12,12,intended purpose,"‘intended purpose’ means the use for which an AI system is intended by the provider, including the specific context and conditions of use, as specified in the information supplied by the provider in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation;","the use for which an AI system is intended by the provider, including the specific context and conditions of use, as specified in the information supplied by the provider in the instructions for use, promotional or sales materials and statements, as well as in the technical documentation;",art_3_p0_n12,3174,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_13,13,reasonably foreseeable misuse,"‘reasonably foreseeable misuse’ means the use of an AI system in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems, including other AI systems;","the use of an AI system in a way that is not in accordance with its intended purpose, but which may result from reasonably foreseeable human behaviour or interaction with other systems, including other AI systems;",art_3_p0_n13,3178,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_14,14,safety component,"‘safety component’ means a component of a product or of an AI system which fulfils a safety function for that product or AI system, or the failure or malfunctioning of which endangers the health and safety of persons or property;","a component of a product or of an AI system which fulfils a safety function for that product or AI system, or the failure or malfunctioning of which endangers the health and safety of persons or property;",art_3_p0_n14,3182,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_15,15,instructions for use,"‘instructions for use’ means the information provided by the provider to inform the deployer of, in particular, an AI system’s intended purpose and proper use;","the information provided by the provider to inform the deployer of, in particular, an AI system’s intended purpose and proper use;",art_3_p0_n15,3185,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_16,16,recall of an AI system,‘recall of an AI system’ means any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an AI system made available to deployers;,any measure aiming to achieve the return to the provider or taking out of service or disabling the use of an AI system made available to deployers;,art_3_p0_n16,3188,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_17,17,withdrawal of an AI system,‘withdrawal of an AI system’ means any measure aiming to prevent an AI system in the supply chain being made available on the market;,any measure aiming to prevent an AI system in the supply chain being made available on the market;,art_3_p0_n17,3191,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_18,18,performance of an AI system,‘performance of an AI system’ means the ability of an AI system to achieve its intended purpose;,the ability of an AI system to achieve its intended purpose;,art_3_p0_n18,3194,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_19,19,notifying authority,"‘notifying authority’ means the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring;","the national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring;",art_3_p0_n19,3196,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_20,20,conformity assessment,"‘conformity assessment’ means the process of demonstrating whether the requirements set out in Chapter III, Section 2 relating to a high-risk AI system have been fulfilled;","the process of demonstrating whether the requirements set out in Chapter III, Section 2 relating to a high-risk AI system have been fulfilled;",art_3_p0_n20,3199,KB 2/Europe/EU Artificial Intelligence Act.pdf
def_21,21,conformity assessment body,"‘conformity assessment body’ means a body that performs third-party conformity assessment activities, including testing, certification and inspection;","a body that performs third-party conformity assessment activities, including testing, certification and inspection;",art_3_p0_n21,3202,KB 2/Europe/EU Artificial Intelligence Act.pdf
