section_id,chapter_id,number,title,source_line,source_document
ch_III_s1,ch_III,1,Classification of AI systems as high-risk,3620,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_III_s2,ch_III,2,Requirements for high-risk AI systems,3771,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_III_s3,ch_III,3,Obligations of providers and deployers of high-risk AI systems and other parties,4195,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_III_s4,ch_III,4,Notifying authorities and notified bodies,4756,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_III_s5,ch_III,5,"Standards, conformity assessment, certificates, registration",5144,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_V_s1,ch_V,1,Classification rules,5646,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_V_s2,ch_V,2,Obligations for providers of general-purpose AI models,5721,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_V_s3,ch_V,3,Obligations of providers of general-purpose AI models with systemic risk,5848,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_V_s4,ch_V,4,Codes of practice,5883,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_VII_s1,ch_VII,1,Governance at Union level,6456,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_VII_s2,ch_VII,2,National competent authorities,6715,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX_s1,ch_IX,1,Post-market monitoring,6817,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX_s2,ch_IX,2,Sharing of information on serious incidents,6860,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX_s3,ch_IX,3,Enforcement,6926,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX_s4,ch_IX,4,Remedies,7438,KB 2/Europe/EU Artificial Intelligence Act.pdf
ch_IX_s5,ch_IX,5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",7481,KB 2/Europe/EU Artificial Intelligence Act.pdf
