area_id,annex_id,number,text,source_line,source_document
annexIII_1,annexIII,1,"Biometrics, in so far as their use is permitted under relevant Union or national law:",8468,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_2,annexIII,2,"Critical infrastructure: AI systems intended to be used as safety components in the management and operation of critical digital infrastructure, road traffic, or in the supply of water, gas, heating or electricity.",8480,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_3,annexIII,3,Education and vocational training:,8483,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_4,annexIII,4,"Employment, workers’ management and access to self-employment:",8498,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_5,annexIII,5,Access to and enjoyment of essential private services and essential public services and benefits:,8508,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_6,annexIII,6,"Law enforcement, in so far as their use is permitted under relevant Union or national law:",8528,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_7,annexIII,7,"Migration, asylum and border control management, in so far as their use is permitted under relevant Union or national law:",8558,KB 2/Europe/EU Artificial Intelligence Act.pdf
annexIII_8,annexIII,8,Administration of justice and democratic processes:,8582,KB 2/Europe/EU Artificial Intelligence Act.pdf
