clause_id,section_id,clause_path,label,level,text,reserved,parent_id,part_id,source_document
SEC-120.1(a),SEC-120.1,(a),a,1,"Authority and delegation. Section 38 of the Arms Export Control Act (22 U.S.C. 2778), as amended, authorizes the President to control the export and import of defense articles and defense services. The statutory authority of the President to promulgate regulations with respect to exports of defense articles and defense services is delegated to the Secretary of State by Executive Order 13637. This subchapter implements that authority, as well as other relevant authorities in the Arms Export Control Act (22 U.S.C. 2751 et seq.). The Secretary of State delegates the authority to administer the regulations in this subchapter to the Deputy Assistant Secretary of State for Defense Trade Controls, Bureau of Political- Military Affairs.",,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(b),SEC-120.1,(b),b,1,Authorized officials.,,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(c),SEC-120.1,(c),c,1,All authorities administered by the Deputy Assistant Secretary of State for Defense Trade Controls pursuant to this subchapter may be exercised at any time by the Under Secretary of State for Arms Controls and International Security or the Assistant Secretary of State for Political-Military Affairs.,,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(d),SEC-120.1,(d),d,1,"The Deputy Assistant Secretary of State for Defense Trade Controls supervises the Directorate of Defense Trade Controls, which is comprised of the following offices:",,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(e),SEC-120.1,(e),e,1,"The Office of Defense Trade Controls Licensing and the Director, Office of Defense Trade Controls Licensing, which have responsibilities related to licensing or other approvals of defense trade, including references under this part and parts 123, 124, 125, 126, 129, and 130 of this subchapter.",,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(f),SEC-120.1,(f),f,1,"The office of Defense Trade Controls Compliance and the Director, Office of Defense Trade Controls Compliance, which have responsibilities related to violations of law or regulation and compliance therewith, including references contained in parts 122, 126, 127, 128, and 130 of this subchapter, and those portions under this part and part 129 of this subchapter pertaining to registration.",,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.1(g),SEC-120.1,(g),g,1,"The Office of Defense Trade Controls Policy and the Director, Office of Defense Trade Controls Policy, which have responsibilities related to the general policies of defense trade, including references under this part and part 126 of this subchapter, and the commodity jurisdiction procedure under this part.",,SEC-120.1,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(a),SEC-120.3,(a),a,1,"For purposes of this subchapter, a specific article or service may be designated a defense article (see § 120.31) or defense service (see § 120.32) if it:",,SEC-120.3,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(a)(1),SEC-120.3,(a)(1),1,2,Meets the criteria of a defense article or defense service on the U.S. Munitions List,,SEC-120.3(a),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(a)(1)(USML),SEC-120.3,(a)(1)(USML),USML,3,(part 121 of this subchapter); or,,SEC-120.3(a)(1),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(a)(2),SEC-120.3,(a)(2),2,2,Provides the equivalent performance capabilities of a defense article on the USML.,,SEC-120.3(a),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(b),SEC-120.3,(b),b,1,"For purposes of this subchapter, a specific article or service shall be determined",,SEC-120.3,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(c),SEC-120.3,(c),c,1,in the future as a defense article or defense service if it provides a critical military or intelligence advantage such that it warrants controls under this subchapter.,,SEC-120.3,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(d),SEC-120.3,(d),d,1,A specific article or service is not a defense article or defense service for purposes of this subchapter if it:,,SEC-120.3,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(d)(1),SEC-120.3,(d)(1),1,2,Is determined to be under the jurisdiction of another department or agency of the U.S. Government (see § 120.5) pursuant to a commodity jurisdiction determination (see § 120.4) unless superseded by changes to the USML or by a subsequent commodity jurisdiction determination; or,,SEC-120.3(d),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.3(d)(2),SEC-120.3,(d)(2),2,2,Meets one of the criteria of § 120.41(b) when the article is used in or with a defense article and specially designed is used as a control criteria.,,SEC-120.3(d),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.4(a),SEC-120.4,(a),a,1,The commodity jurisdiction procedure is used with the U.S. Government if doubt exists as to whether an article or service is covered by the U.S. Munitions List (USML). It may also be used for consideration of a redesignation of an article or service currently covered by the USML. The Department must provide notice to Congress at least 30 days before any item is removed from the USML.,,SEC-120.4,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.4(b),SEC-120.4,(b),b,1,The procedure for submitting a Commodity Jurisdiction Determination Request to the Directorate of Defense Trade Controls is set forth in § 120.12.,,SEC-120.4,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(a),SEC-120.5,(a),a,1,"The Department of Justice, the U.S. Munitions Import List (USMIL), and permanent imports. Defense articles and defense services covered by the U.S. Munitions List set forth in this subchapter are regulated by the Department of State (see also § 120.2) for purposes of export, reexport, retransfer, and temporary import. The President has delegated the authority to control the permanent import of defense articles and services to the Attorney General. The defense articles and services controlled by the Secretary of State and the Attorney General collectively comprise the U.S. Munitions List under the Arms Export Control Act. As the Attorney General exercises independent delegated authority to designate defense articles and services for purposes of permanent import controls, the permanent import control list administered by the Department of Justice has been separately labeled the U.S. Munitions Import List (27 CFR part 447) to distinguish it from the list set out in this subchapter. In carrying out the functions delegated to the Attorney General pursuant to the Arms Export Control Act, the Attorney General shall be guided by the views of the Secretary of State on matters affecting world peace and the external security and foreign policy of the United States.",,SEC-120.5,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(b),SEC-120.5,(b),b,1,The Department of Commerce and the Export Administration Regulations –,,SEC-120.5,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(b)(1),SEC-120.5,(b)(1),1,2,"Export of items subject to the Export Administration Regulations by authority of the Department of Commerce. The Department of Commerce regulates the export, reexport, and in-country transfer of items on the Commerce Control List and other items subject to its jurisdiction, as well as certain activities performed by U.S. persons, including those that may contribute to the proliferation of weapons of mass destruction, under the Export Administration Regulations (EAR) (15 CFR parts 730 through 774).",,SEC-120.5(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(b)(2),SEC-120.5,(b)(2),2,2,"Export of items subject to the EAR by authority of the Department of State. A license or other approval (see § 120.57) from the Department of State granted in accordance with this subchapter may also authorize the export of items subject to the EAR (see § 120.58). An exemption (see § 120.57 and parts 123, 124, 125, and 126 of this subchapter) may only be used to export an item subject to the EAR that is for use in or with a defense article and is included in the same shipment as any defense article. Separate approval from the Department of Commerce is not required for these items. No exemption under this subchapter may be utilized to export an item subject to the EAR if not accompanied by a defense article. Those items subject to the EAR exported pursuant to a Department of State license or other approval would remain under the jurisdiction of the Department of Commerce for any subsequent transactions. The inclusion of items subject to the EAR on a Department of State license or other approval does not change the licensing jurisdiction of the items.",,SEC-120.5(b),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c),SEC-120.5,(c),c,1,Nuclear related controls; Department of Energy and the Nuclear Regulatory Commission.,,SEC-120.5,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SEC-120.5(c)(1),SEC-120.5,(c)(1),1,2,"The provisions of this subchapter do not apply to articles, technical data, or services in Category VI, Category XV, Category XVI, and Category XX of § 121.1 of this subchapter to the extent that exports of such articles, technical data, or services are controlled by the Department of Energy or the Nuclear Regulatory Commission pursuant to the Atomic Energy Act of 1954 (AEA), as amended, and the Nuclear Non- Proliferation Act of 1978, as amended, or are government transfers authorized pursuant to these Acts. For Department of Commerce controls, see 15 CFR 742.3 and 744.2, administered pursuant to Section 309(c) of the Nuclear Nonproliferation Act of 1978, as amended (42 U.S.C. 2139a(c)), and 15 CFR 744.5, which are not subject to this subchapter.",,SEC-120.5(c),PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
