definition_id,term,definition_text,section_number,part_id,source_document
DEF-120.30,Directorate of Defense Trade Controls,"Directorate of Defense Trade Controls, Bureau of Political-Military Affairs, Department of State, Washington, DC 20522-0112.",120.30,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.31,Defense article,"(a) Defense article means any item or technical data designed in § 121.1 of this subchapter and includes: (1) Technical data recorded or stored in any physical form, models, mockups or other items that reveal technical data directly relating to items designated in § 121.1 of this subchapter; and (2) Forgings, castings, and other unfinished products, such as extrusions and machined bodies, that have reached a stage in manufacturing where they are clearly identifiable by mechanical properties, material composition, geometry, or function as defense articles. (b) It does not include basic marketing information on function or purpose or general system descriptions. (c) The policy described in § 120.3 is applicable to designations of additional items.",120.31,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.32,Defense service,"(a) Defense service means: (1) The furnishing of assistance (including training) to foreign persons, whether in the United States or abroad in the design, development, engineering, manufacture, production, assembly, testing, repair, maintenance, modification, operation, demilitarization, destruction, processing, or use of defense articles; (2) The furnishing to foreign persons of any technical data controlled under this subchapter, whether in the United States or abroad; or (3) Military training of foreign units and forces, regular and irregular, including formal or informal instruction of foreign persons in the United States or abroad or by correspondence courses, technical, educational, or information publications and media of all kinds, training aid, orientation, training exercise, and military advice. (b) [Reserved]",120.32,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.33,Technical data,"(a) Technical data means for purposes of this subchapter: (1) Information, other than software as defined in § 120.40(g), which is required for the design, development, production, manufacture, assembly, operation, repair, testing, maintenance, or modification of defense articles. This includes information in the form of blueprints, drawings, photographs, plans, instructions, or documentation; (2) Classified information relating to defense articles and defense services on the U.S. Munitions List and 600-series items controlled by the Commerce Control List; (3) Information covered by an invention secrecy order; or (4) Software (see § 120.40(g)) directly related to defense articles. (b) The definition in paragraph (a) of this section does not include information concerning general scientific, mathematical, or engineering principles commonly taught in schools, colleges, and universities, or information in the public domain as defined in § 120.34 or telemetry data as defined in note 3 to Category XV(f) of § 121.1 of this subchapter. It also does not include basic marketing information on function or purpose or general system descriptions of defense articles.",120.33,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.34,Public domain,"(a) Public domain means information which is published and which is generally accessible or available to the public: (1) Through sales at newsstands and bookstores; (2) Through subscriptions which are available without restriction to any individual who desires to obtain or purchase the published information; (3) Through second class mailing privileges granted by the U.S. Government; (4) At libraries open to the public or from which the public can obtain documents; (5) Through patents available at any patent office; (6) Through unlimited distribution at a conference, meeting, seminar, trade show, or exhibition, generally accessible to the public, in the United States; (7) Through public release (i.e., unlimited distribution) in any form (e.g., not necessarily in published form) after approval by the cognizant U.S. Government department or agency (see also § 125.4(b)(13) of this subchapter); or (8) Through fundamental research in science and engineering at accredited institutions of higher learning in the U.S. where the resulting information is ordinarily published and shared broadly in the scientific community. Fundamental research is defined to mean basic and applied research in science and engineering where the resulting information is ordinarily published and shared broadly within the scientific community, as distinguished from research the results of which are restricted for proprietary reasons or specific U.S. Government access and dissemination controls. University research will not be considered fundamental research if: (i) The University or its researchers accept other restrictions on publication of scientific and technical information resulting from the project or activity; or (ii) The research is funded by the U.S. Government and specific access and dissemination controls protecting information resulting from the research are applicable. (b) [Reserved]",120.34,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.36,Significant military equipment,(a) Significant military equipment means articles for which special export controls are warranted because of their capacity for substantial military utility or capability. (b) Significant military equipment includes: (1) Items in § 121.1 of this subchapter that are preceded by an asterisk; and (2) All classified articles enumerated in § 121.1 of this subchapter.,120.36,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.37,Major defense equipment,"Major defense equipment, pursuant to section 47(6) of the Arms Export Control Act (22 U.S.C. 2794(6)), means any item of significant military equipment on the U.S. Munitions List having a nonrecurring research and development cost of more than $50,000,000 or a total production cost of more than $200,000,000.",120.37,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.38,Classified,"Classified means classified pursuant to Executive Order 13526, or predecessor order, and a security classification guide developed pursuant thereto or equivalent, or to the corresponding classification rules of another government or international organization.",120.38,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.39,Foreign defense article or defense service,"Foreign defense article or defense service means any article or service described on the U.S. Munitions List of non-U.S. origin. Unless otherwise provided in this subchapter, the terms defense article and defense service refer to both U.S. and foreign origin defense articles and defense services described on the U.S. Munitions List. A defense article or defense service is determined exclusively in accordance with the Arms Export Control Act and this subchapter, regardless of any designation (either affirming or contrary) that may be attributed to the same article or service by any foreign government or international organization.",120.39,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
DEF-120.40,Compositional terms,"(a) Commodity means any article, material, or supply, except technology/technical data or software. (b) An end-item is a system, equipment, or an assembled article ready for its intended use. Only ammunition or fuel or other energy source is required to place it in an operating state. (c) A component is an item that is useful only when used in conjunction with an end-item: (1) A major component includes any assembled element that forms a portion of an end-item without which the end-item is inoperable; and (2) A minor component includes any assembled element of a major component. (d) Accessories and attachments are associated articles for any component, equipment, system, or end-item, and which are not necessary for its operation, but which enhance its usefulness or effectiveness. (e) A part is any single unassembled element of a major or a minor component, accessory, or attachment which is not normally subject to disassembly without the destruction or the impairment of designed use. (f) Firmware and any related unique support tools (such as computers, linkers, editors, test case generators, diagnostic checkers, library of functions, and system diagnostics) directly related to equipment or systems covered under any category of the U.S. Munitions List are considered as part of the end-item or component. Firmware includes but is not limited to circuits into which software has been programmed. (g) Software includes but is not limited to the system functional design, logic flow, algorithms, application programs, operating systems, and support software for design, implementation, test, operation, diagnosis, and repair. A person who intends to export only software should, unless it is specifically enumerated in § 121.1 of this subchapter (e.g., USML Category XIII(b)), apply for a technical data license pursuant to part 125 of this subchapter. (h) A system is a combination of parts, components, accessories, attachments, firmware, software, equipment, or end-items that operate together to perform a function. (i) Equipment is a combination of parts, components, accessories, attachments, firmware, or software that operate together to perform a function of, as, or for an end-item or system. Equipment may be a subset of an end-item based on the characteristics of the equipment. Equipment that meets the definition of an end-item in paragraph (b) of this section is an end- item. Equipment that does not meet the definition of an end-item is a component, accessory, attachment, firmware, or software.",120.40,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
