supplemententry_id,supplement,usml_entry,exclusion_text,excluded_canada_126_5,excluded_australia_126_16,excluded_uk_126_17,part_id,source_document
SUPP1-038,Supplement No. 1 to Part 126,VI,Defense articles and services specific to naval technology X and systems relating to acoustic spectrum control and awareness. See Note 10,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-039,Supplement No. 1 to Part 126,VI(a),Nuclear powered vessels.,X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-040,Supplement No. 1 to Part 126,VI(e),Defense articles and services specific to naval nuclear X propulsion equipment. See Note 7,X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-041,Supplement No. 1 to Part 126,VI(g),Software source code related to USML Category VI(a) or X VI(c). See Note 4,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-042,Supplement No. 1 to Part 126,VII,"Defense articles and services specific to cryogenic X equipment, and specially designed components or accessories therefor, specially designed or configured to be installed in a vehicle for military ground, marine, airborne or space applications, capable of operating while in motion and of producing or maintaining temperatures below 103 K (−170 °C)",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-043,Supplement No. 1 to Part 126,VII,"Defense articles and services specific to superconductive X electrical equipment (rotating machinery and transformers) specially designed or configured to be installed in a vehicle for military ground, marine, airborne, or space applications and capable of operating while in motion. This, however, does not include direct current hybrid homopolar generators which have single-pole normal metal armatures that rotate in a magnetic field produced by superconducting windings, provided those windings are the only superconducting component in the generator",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-044,Supplement No. 1 to Part 126,VIII,"Defense articles and services specific to cryogenic X equipment, and specially designed components and accessories therefor, specially designed or configured to be installed in a vehicle for military ground, marine, airborne or space applications, capable of operating while in motion and of producing or maintaining temperatures below 103 K (−170 °C)",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-045,Supplement No. 1 to Part 126,VIII,"Defense articles and services specific to superconductive X electrical equipment (rotating machinery and transformers) specially designed or configured to be installed in a vehicle for military ground, marine, airborne, or space applications and capable of operating while in motion. This, however, does not include direct current hybrid homopolar generators which have single-pole normal metal armatures that rotate in a magnetic field produced by superconducting windings, provided those windings are the only superconducting component in the generator",,,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-046,Supplement No. 1 to Part 126,VIII(a),All USML Category VIII(a) items.,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-047,Supplement No. 1 to Part 126,VIII(f),"Developmental aircraft parts, components, accessories, and X attachments identified in USML Category VIII(f)",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-048,Supplement No. 1 to Part 126,VIII(i),"Manufacturing know-how related to USML Category X VIII(a) or VIII(e), and specially designed parts or components therefor. See Note 5",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-049,Supplement No. 1 to Part 126,VIII(i),Software source code related to USML Category VIII(a) or X VIII(e). See Note 4,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-050,Supplement No. 1 to Part 126,IX,Training or simulation equipment for Man Portable Air X Defense Systems (MANPADS). See Note 6,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-051,Supplement No. 1 to Part 126,IX(e),Software source code related to USML Category IX(a) or X IX(b). See Note 4,,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-052,Supplement No. 1 to Part 126,IX(e),Software that is both specifically designed or modified for X military use and specifically designed or modified for modeling or simulating military operational scenarios,,,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-053,Supplement No. 1 to Part 126,X(e),"Manufacturing know-how related to USML Category X(a)(1) or X(a)(2), and specially designed components therefor. See Note 5 XI(a) XI(c), Defense articles and services specific to countermeasures",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-054,Supplement No. 1 to Part 126,XI(d),and counter- countermeasures See Note 9,,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-055,Supplement No. 1 to Part 126,XI(a),"High Frequency and Phased Array Microwave Radar X systems, with capabilities such as search, acquisition, tracking, moving target indication, and imaging radar systems. See Note 16 XI(a), XI(c), Defense articles and services specific to naval technology",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-056,Supplement No. 1 to Part 126,XI(d),"and systems relating to acoustic spectrum control and awareness. See Note 10 XI(a), XI(c), Defense articles and services specific to USML Category",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-057,Supplement No. 1 to Part 126,XI(d),"XI(b) (e.g., communications security (COMSEC) and TEMPEST)",,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-058,Supplement No. 1 to Part 126,XI(d),Software source code related to USML Category X XI(a). See Note 4,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-059,Supplement No. 1 to Part 126,XI(d),"Manufacturing know-how related to USML Category X XI(a)(3) or XI(a)(4), and specially designed components therefor. See Note 5",X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-060,Supplement No. 1 to Part 126,XII,Defense articles and services specific to countermeasures X and counter- countermeasures. See Note 9,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-061,Supplement No. 1 to Part 126,XII,"Defense articles and services specific to USML Category X XII(c) articles, except any 1st- and 2nd- generation image intensification tubes and 1st- and 2nd-generation image intensification night sighting equipment. End-items in basic operations, maintenance, and training information as authorized under the exemption in § 125.4(b)(5) of this subchapter may be exported directly to a Canadian Government entity (i.e., federal, provincial, territorial, or municipal) consistent with § 126.5, other exclusions, and the provisions of this subchapter",X,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-062,Supplement No. 1 to Part 126,XII,"Technical data or defense services for night vision X equipment beyond basic operations, maintenance, and training data. However, the AS and UK Treaty exemptions apply when such export is pursuant to a written solicitation or contract issued or awarded by the U.S. Department of Defense for an end-use identified in paragraph (e)(1), (e)(2), or (e)(4) of § 126.16 or § 126.17 of this subchapter and is consistent with other exclusions of this supplement",X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-063,Supplement No. 1 to Part 126,XII(f),Manufacturing know-how related to USML Category X XII(d) and specially designed components therefor. See Note 5,X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-064,Supplement No. 1 to Part 126,XII(f),"Software source code related to USML Category XII(a), X XII(b), XII(c), or XII(d). See Note 4",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-065,Supplement No. 1 to Part 126,XIII(b),"Defense articles and services specific to USML Category X XIII(b) (Military Information Security Assurance Systems, cryptographic devices, software, and components)",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-066,Supplement No. 1 to Part 126,XIII(d),"Carbon/carbon billets and preforms which are reinforced in X three or more dimensional planes, specifically designed, developed, modified, configured, or adapted for defense articles",,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-067,Supplement No. 1 to Part 126,XIII(e),Defense articles and services specific to armored plate X manufactured to comply with a military standard or specification or suitable for military use. See Note 11,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-068,Supplement No. 1 to Part 126,XIII(g),Defense articles and services related to concealment and X deception equipment and materials,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-069,Supplement No. 1 to Part 126,XIII(h),Energy conversion devices other than fuel cells,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-070,Supplement No. 1 to Part 126,XIII(j),Defense articles and services related to hardware associated X with the measurement or modification of system signatures for detection of defense articles as described in Note 2,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-071,Supplement No. 1 to Part 126,XIII(l),Software source code related to USML Category X XIII(a). See Note 4,,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-072,Supplement No. 1 to Part 126,XIV,"Defense articles and services related to toxicological X agents, including chemical agents, biological agents, and associated equipment XIV(a), Chemical agents listed in USML Category XIV(a), X XIV(b), (d) and (e), biological agents and biologically derived XIV(d), substances in USML Category XIV(b), and equipment XIV(e), listed in USML Category XIV(f) for dissemination of the",X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-073,Supplement No. 1 to Part 126,XIV(f),chemical agents and biological agents listed in USML,,,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-074,Supplement No. 1 to Part 126,XV(a),"Defense articles and services specific to X spacecraft/satellites. However, the Canadian exemption may be used for commercial communications satellites that have no other type of payload",X,X,,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
SUPP1-075,Supplement No. 1 to Part 126,XV(b),"Defense articles and services specific to ground control X stations for spacecraft telemetry, tracking, and control. Defense articles and services are not excluded under this entry if they do not control the spacecraft. Receivers for receiving satellite transmissions are also not excluded under this entry",,X,X,PART-126,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
