source_id,target_id,rel_type,target_kind
SEC-120.2,SEC-120.4,CROSS_REFERENCES,section
SEC-120.3(a),SEC-120.31,CROSS_REFERENCES,section
SEC-120.3(a),SEC-120.32,CROSS_REFERENCES,section
NOTE-0001,SEC-121.1,CROSS_REFERENCES,section
NOTE-0001,CAT-XXI,CROSS_REFERENCES,usml_category
SEC-120.3(d)(1),SEC-120.5,CROSS_REFERENCES,section
SEC-120.3(d)(1),SEC-120.4,CROSS_REFERENCES,section
SEC-120.3(d)(2),SEC-120.41,CROSS_REFERENCES,section
SEC-120.4(b),SEC-120.12,CROSS_REFERENCES,section
SEC-120.5(a),SEC-120.2,CROSS_REFERENCES,section
SEC-120.5(b)(2),SEC-120.57,CROSS_REFERENCES,section
SEC-120.5(b)(2),SEC-120.58,CROSS_REFERENCES,section
SEC-120.5(c)(1),SEC-121.1,CROSS_REFERENCES,section
SEC-120.5(c)(1),CAT-VI,CROSS_REFERENCES,usml_category
SEC-120.5(c)(1),CAT-XV,CROSS_REFERENCES,usml_category
SEC-120.5(c)(1),CAT-XVI,CROSS_REFERENCES,usml_category
SEC-120.5(c)(1),CAT-XX,CROSS_REFERENCES,usml_category
SEC-120.5(c)(3),CAT-VI,CROSS_REFERENCES,usml_category
SEC-120.5(c)(3),CAT-XX,CROSS_REFERENCES,usml_category
SEC-120.11(b)(1),SEC-120.41,CROSS_REFERENCES,section
SEC-120.11(d),SEC-120.5,CROSS_REFERENCES,section
SEC-120.12(a),SEC-120.2,CROSS_REFERENCES,section
SEC-120.12(c),SEC-121.1,CROSS_REFERENCES,section
SEC-120.12(c),CAT-XXI,CROSS_REFERENCES,usml_category
SEC-120.14(c),SEC-129.4,CROSS_REFERENCES,section
SEC-120.15(b),SEC-120.16,CROSS_REFERENCES,section
SEC-120.15(e),SEC-123.22,CROSS_REFERENCES,section
SEC-120.15(e),SEC-126.16,CROSS_REFERENCES,section
SEC-120.15(f),SEC-125.4,CROSS_REFERENCES,section
SEC-120.16(c),SEC-120.6,CROSS_REFERENCES,section
SEC-120.16(c),SEC-120.18,CROSS_REFERENCES,section
SEC-120.18(a)(4),SEC-120.6,CROSS_REFERENCES,section
SEC-120.18(a)(9),SEC-120.17,CROSS_REFERENCES,section
SEC-120.23(e),SEC-126.16,CROSS_REFERENCES,section
SEC-120.23(g),SEC-126.17,CROSS_REFERENCES,section
SEC-120.31(a),SEC-121.1,CROSS_REFERENCES,section
SEC-120.31(a)(1),SEC-121.1,CROSS_REFERENCES,section
SEC-120.31(c),SEC-120.3,CROSS_REFERENCES,section
SEC-120.33(a)(1),SEC-120.40,CROSS_REFERENCES,section
SEC-120.33(a)(4),SEC-120.40,CROSS_REFERENCES,section
SEC-120.33(b),SEC-120.34,CROSS_REFERENCES,section
SEC-120.33(b),SEC-121.1,CROSS_REFERENCES,section
SEC-120.33(b),CAT-XV,CROSS_REFERENCES,usml_category
SEC-120.34(a)(7),SEC-125.4,CROSS_REFERENCES,section
SEC-120.36(b)(1),SEC-121.1,CROSS_REFERENCES,section
SEC-120.36(b)(2),SEC-121.1,CROSS_REFERENCES,section
SEC-120.40(g),SEC-121.1,CROSS_REFERENCES,section
SEC-120.40(g),CAT-XIII,CROSS_REFERENCES,usml_category
SEC-120.41(a)(1),SEC-121.1,CROSS_REFERENCES,section
SEC-120.50(a),SEC-120.54,CROSS_REFERENCES,section
SEC-120.50(a),SEC-126.16,CROSS_REFERENCES,section
SEC-120.50(a),SEC-126.17,CROSS_REFERENCES,section
SEC-120.50(a)(6),SEC-120.56,CROSS_REFERENCES,section
SEC-120.51(a),SEC-120.54,CROSS_REFERENCES,section
SEC-120.51(a),SEC-126.16,CROSS_REFERENCES,section
SEC-120.51(a),SEC-126.17,CROSS_REFERENCES,section
SEC-120.52(a),SEC-120.54,CROSS_REFERENCES,section
SEC-120.52(a),SEC-126.16,CROSS_REFERENCES,section
SEC-120.52(a),SEC-126.17,CROSS_REFERENCES,section
SEC-120.53(a),SEC-120.54,CROSS_REFERENCES,section
SEC-120.54(a)(4),SEC-120.60,CROSS_REFERENCES,section
SEC-120.54(a)(5)(iv),SEC-126.1,CROSS_REFERENCES,section
SEC-120.54(a)(5)(v),SEC-126.1,CROSS_REFERENCES,section
SEC-120.62,SEC-120.63,CROSS_REFERENCES,section
SEC-121.0,SEC-120.10,CROSS_REFERENCES,section
USML-I(i),SEC-120.33,CROSS_REFERENCES,section
USML-I(i),SEC-120.32,CROSS_REFERENCES,section
USML-I(i),SEC-125.4,CROSS_REFERENCES,section
NOTE-0009,SEC-123.1,CROSS_REFERENCES,section
NOTE-0015,CAT-VII,CROSS_REFERENCES,usml_category
NOTE-0017,CAT-VI,CROSS_REFERENCES,usml_category
NOTE-0017,CAT-VII,CROSS_REFERENCES,usml_category
USML-II(k),SEC-120.33,CROSS_REFERENCES,section
USML-II(k),SEC-120.32,CROSS_REFERENCES,section
USML-II(k)(j),SEC-125.4,CROSS_REFERENCES,section
NOTE-0018,SEC-123.1,CROSS_REFERENCES,section
USML-III(a)(9),CAT-II,CROSS_REFERENCES,usml_category
USML-III(d)(4),CAT-II,CROSS_REFERENCES,usml_category
USML-III(d)(5),CAT-II,CROSS_REFERENCES,usml_category
USML-III(d)(7),CAT-II,CROSS_REFERENCES,usml_category
USML-III(e),SEC-120.33,CROSS_REFERENCES,section
USML-III(e),SEC-120.32,CROSS_REFERENCES,section
USML-III(e),SEC-125.4,CROSS_REFERENCES,section
NOTE-0025,SEC-123.1,CROSS_REFERENCES,section
NOTE-0033,CAT-VIII,CROSS_REFERENCES,usml_category
NOTE-0036,CAT-V,CROSS_REFERENCES,usml_category
NOTE-0037,CAT-XI,CROSS_REFERENCES,usml_category
USML-IV(d)(7)(d),CAT-XIX,CROSS_REFERENCES,usml_category
NOTE-0041,CAT-XV,CROSS_REFERENCES,usml_category
USML-IV(d)(7)(i),SEC-120.33,CROSS_REFERENCES,section
USML-IV(d)(7)(i),SEC-120.32,CROSS_REFERENCES,section
USML-IV(d)(7)(i),SEC-125.4,CROSS_REFERENCES,section
USML-IV(d)(7)(i),SEC-124.15,CROSS_REFERENCES,section
NOTE-0043,SEC-123.1,CROSS_REFERENCES,section
NOTE-0044,CAT-I,CROSS_REFERENCES,usml_category
USML-V(j),SEC-120.33,CROSS_REFERENCES,section
USML-V(j),SEC-120.32,CROSS_REFERENCES,section
USML-V(j),SEC-120.5,CROSS_REFERENCES,section
USML-V(k)(1),CAT-V,CROSS_REFERENCES,usml_category
NOTE-0049,SEC-123.1,CROSS_REFERENCES,section
NOTE-0053,SEC-120.40,CROSS_REFERENCES,section
USML-VI(e),SEC-120.5,CROSS_REFERENCES,section
USML-VI(f)(5),SEC-120.5,CROSS_REFERENCES,section
NOTE-0060,CAT-XIII,CROSS_REFERENCES,usml_category
USML-VI(g),SEC-120.33,CROSS_REFERENCES,section
USML-VI(g),SEC-120.32,CROSS_REFERENCES,section
USML-VI(g),SEC-125.4,CROSS_REFERENCES,section
NOTE-0061,SEC-123.1,CROSS_REFERENCES,section
NOTE-0062,SEC-120.40,CROSS_REFERENCES,section
NOTE-0063,CAT-VIII,CROSS_REFERENCES,usml_category
NOTE-0063,CAT-VI,CROSS_REFERENCES,usml_category
NOTE-0064,CAT-XIII,CROSS_REFERENCES,usml_category
USML-VII(h),SEC-120.33,CROSS_REFERENCES,section
USML-VII(h),SEC-120.32,CROSS_REFERENCES,section
