usmlcategory_id,roman_numeral,title,part_id,section_id,source_document
CAT-I,I,Firearms and Related Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-II,II,Guns and Armament,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-III,III,Ammunition and Ordnance,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-IV,IV,"Launch Vehicles, Guided Missiles, Ballistic Missiles, Rockets, Torpedoes, Bombs, and Mines",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-V,V,"Explosives and Energetic Materials, Propellants, Incendiary Agents, and Their Constituents",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-VI,VI,Surface Vessels of War and Special Naval Equipment,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-VII,VII,Ground Vehicles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-VIII,VIII,Aircraft and Related Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-IX,IX,Military Training Equipment and Training,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-X,X,Personal Protective Equipment,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XI,XI,Military Electronics,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XII,XII,"Fire Control, Laser, Imaging, and Guidance Equipment",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XIII,XIII,Materials and Miscellaneous Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XIV,XIV,"Toxicological Agents, Including Chemical Agents, Biological Agents, and Associated Equipment",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XV,XV,Spacecraft and Related Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XVI,XVI,Nuclear Weapons Related Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XVII,XVII,"Classified Articles, Technical Data, and Defense Services Not Otherwise Enumerated",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XVIII,XVIII,Directed Energy Weapons,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XIX,XIX,Gas Turbine Engines and Associated Equipment,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XX,XX,Submersible Vessels and Related Articles,PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
CAT-XXI,XXI,"Articles, Technical Data, and Defense Services Not Otherwise Enumerated",PART-121,SEC-121.1,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
