subpart_id,letter,title,part_id,source_document
PART-120-SUBA,A,General Information,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-120-SUBB,B,General Policies and Processes,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
PART-120-SUBC,C,Definitions,PART-120,"International Traffic in Arms Regulations (ITAR), 22 CFR Parts 120-130, amended through 2 October 2025 (KB 2/USA/ITAR.pdf)"
