source_id,target_id,rel_type,source_document
sra_s6,sra_s6_q4,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q5,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q6,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q7,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q8,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q9,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q10,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q11,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q12,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q13,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q14,HAS_QUESTION,DTOP-OLD
sra_s6,sra_s6_q15,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q1,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q2,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q3,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q4,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q5,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q6,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q7,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q8,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q9,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q10,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q11,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q12,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q13,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q14,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q15,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q16,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q17,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q18,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q19,HAS_QUESTION,DTOP-OLD
sra_s7,sra_s7_q20,HAS_QUESTION,DTOP-OLD
