referencedframework_id,name,description,source_document
fw_hipaa,HIPAA,HIPAA Security Rule citations,DTOP-OLD
fw_nist_csf,NIST CSF,NIST Cybersecurity Framework subcategories,DTOP-OLD
fw_hph_cpg,HPH CPG,HPH Cybersecurity Performance Goals,DTOP-OLD
fw_hicp,HICP,Health Industry Cybersecurity Practices,DTOP-OLD
