source_id,target_id,rel_type,citation,source_document
sra_s1_q1_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q1_o1,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q1_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q1_o1,fw_hicp,CITES,"TV1 - Practice # 7, 10",DTOP-OLD
sra_s1_q1_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q1_o2,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q1_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q1_o2,fw_hicp,CITES,"TV1 - Practice # 7, 10",DTOP-OLD
sra_s1_q1_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q1_o3,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q1_o3,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q1_o3,fw_hicp,CITES,"TV1 - Practice # 7, 10",DTOP-OLD
sra_s1_q2_o1,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q2_o1,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q2_o1,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q2_o1,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q2_o2,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q2_o2,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
sra_s1_q2_o2,fw_hph_cpg,CITES,1,DTOP-OLD
sra_s1_q2_o2,fw_hicp,CITES,TV1 - Practice # 10,DTOP-OLD
sra_s1_q2_o3,fw_hipaa,CITES,§164.308(a)(1)(ii)(A),DTOP-OLD
sra_s1_q2_o3,fw_nist_csf,CITES,"ID.RA, ID.AM, GV.OC, PR.DS, PR.PS, RS.MI",DTOP-OLD
