source_id,target_id,rel_type,next_label,source_document
sra_s4_q19_o3,sra_s4_q20,LEADS_TO,Q20,DTOP-OLD
sra_s4_q19_o4,sra_s4_q20,LEADS_TO,Q20,DTOP-OLD
sra_s4_q20_o1,sra_s4_q21,LEADS_TO,Q21,DTOP-OLD
sra_s4_q20_o2,sra_s4_q21,LEADS_TO,Q21,DTOP-OLD
sra_s4_q20_o3,sra_s4_q21,LEADS_TO,Q21,DTOP-OLD
sra_s4_q20_o4,sra_s4_q21,LEADS_TO,Q21,DTOP-OLD
sra_s4_q21_o1,sra_s4_q22,LEADS_TO,Q22,DTOP-OLD
sra_s4_q21_o2,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q21_o3,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q22_o1,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q22_o2,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q22_o3,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q22_o4,sra_s4_q23,LEADS_TO,Q23,DTOP-OLD
sra_s4_q23_o1,sra_s4_q24,LEADS_TO,Q24,DTOP-OLD
sra_s4_q23_o2,sra_s4_q24,LEADS_TO,Q24,DTOP-OLD
sra_s4_q23_o3,sra_s4_q24,LEADS_TO,Q24,DTOP-OLD
sra_s4_q23_o4,sra_s4_q24,LEADS_TO,Q24,DTOP-OLD
sra_s4_q24_o1,sra_s4_q25,LEADS_TO,Q25,DTOP-OLD
sra_s4_q24_o2,sra_s4_q25,LEADS_TO,Q25,DTOP-OLD
sra_s4_q24_o3,sra_s4_q26,LEADS_TO,Q26,DTOP-OLD
sra_s4_q25_o1,sra_s4_q26,LEADS_TO,Q26,DTOP-OLD
sra_s4_q25_o2,sra_s4_q26,LEADS_TO,Q26,DTOP-OLD
sra_s4_q25_o3,sra_s4_q26,LEADS_TO,Q26,DTOP-OLD
sra_s4_q26_o1,sra_s4_q27,LEADS_TO,Q27,DTOP-OLD
sra_s4_q26_o2,sra_s4_q27,LEADS_TO,Q27,DTOP-OLD
sra_s4_q26_o3,sra_s4_q27,LEADS_TO,Q27,DTOP-OLD
sra_s4_q26_o4,sra_s4_q27,LEADS_TO,Q27,DTOP-OLD
sra_s4_q27_o1,sra_s4_q28,LEADS_TO,Q28,DTOP-OLD
sra_s4_q27_o2,sra_s4_q28,LEADS_TO,Q28,DTOP-OLD
sra_s4_q27_o3,sra_s4_q28,LEADS_TO,Q28,DTOP-OLD
sra_s4_q27_o4,sra_s4_q28,LEADS_TO,Q28,DTOP-OLD
sra_s4_q28_o1,sra_s4_q29,LEADS_TO,Q29,DTOP-OLD
sra_s4_q28_o2,sra_s4_q29,LEADS_TO,Q29,DTOP-OLD
sra_s4_q28_o3,sra_s4_q29,LEADS_TO,Q29,DTOP-OLD
sra_s4_q29_o1,sra_s4_q30,LEADS_TO,Q30,DTOP-OLD
sra_s4_q29_o2,sra_s4_q30,LEADS_TO,Q30,DTOP-OLD
sra_s4_q29_o3,sra_s4_q30,LEADS_TO,Q30,DTOP-OLD
sra_s5_q1_o1,sra_s5_q2,LEADS_TO,Q2,DTOP-OLD
sra_s5_q1_o2,sra_s5_q2,LEADS_TO,Q2,DTOP-OLD
sra_s5_q1_o3,sra_s5_q2,LEADS_TO,Q2,DTOP-OLD
sra_s5_q2_o1,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o2,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o3,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o4,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o5,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o6,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o7,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q2_o8,sra_s5_q3,LEADS_TO,Q3,DTOP-OLD
sra_s5_q3_o1,sra_s5_q4,LEADS_TO,Q4,DTOP-OLD
sra_s5_q3_o2,sra_s5_q4,LEADS_TO,Q4,DTOP-OLD
sra_s5_q3_o3,sra_s5_q4,LEADS_TO,Q4,DTOP-OLD
sra_s5_q4_o1,sra_s5_q5,LEADS_TO,Q5,DTOP-OLD
sra_s5_q4_o2,sra_s5_q5,LEADS_TO,Q5,DTOP-OLD
sra_s5_q4_o3,sra_s5_q5,LEADS_TO,Q5,DTOP-OLD
sra_s5_q4_o4,sra_s5_q5,LEADS_TO,Q5,DTOP-OLD
sra_s5_q5_o1,sra_s5_q6,LEADS_TO,Q6,DTOP-OLD
sra_s5_q5_o2,sra_s5_q6,LEADS_TO,Q6,DTOP-OLD
