statement_id_key,assessment,statement_id,description,subcategory,domain,subject_tags,in_md,in_csv,source_document
stmt_cri_pr_aa_05_02,expert,PR.AA-05.02,"The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",IAM,,true,false,DTOP-OLD
stmt_cri_pr_aa_05_03,expert,PR.AA-05.03,"The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",IAM,,true,false,DTOP-OLD
stmt_cri_pr_aa_05_04,expert,PR.AA-05.04,"Specific roles, responsibilities, and procedures to manage the risk of third-party access to organizational systems and facilities are defined and implemented.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",TPR,,true,false,DTOP-OLD
stmt_cri_pr_ps_01_01,expert,PR.PS-01.01,"The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,CPS,,true,false,DTOP-OLD
stmt_cri_pr_ps_01_08,expert,PR.PS-01.08,"End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,CPS,,true,false,DTOP-OLD
stmt_cri_pr_ps_01_09,expert,PR.PS-01.09,"Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PROTECT / Platform Security / Configuration Management,CPS,,true,false,DTOP-OLD
stmt_cri_pr_ps_02_01,expert,PR.PS-02.01,"The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,CPS,,true,false,DTOP-OLD
stmt_cri_pr_ps_02_02,expert,PR.PS-02.02,The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,CPS,,true,false,DTOP-OLD
stmt_cri_pr_ps_06_01,expert,PR.PS-06.01,"The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PROTECT / Platform Security / Secure Systems Development Practices,APS,,true,false,DTOP-OLD
stmt_cri_pr_ps_06_02,expert,PR.PS-06.02,"The architecture, design, coding, testing, and operationalization of system solutions address the unique security, resilience, technical, and operational characteristics of the target platform environment(s) (e.g., distributed system, mainframe, cloud, API, mobile, database, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,APS,,true,false,DTOP-OLD
stmt_cri_pr_ps_06_03,expert,PR.PS-06.03,"Functional, operational, resilience, and security requirements for system development and implementation projects are documented, agreed to by relevant stakeholders, and tracked and managed through development, testing, assurance, acceptance, and delivery.",PROTECT / Platform Security / Secure Systems Development Practices,APS,,true,false,DTOP-OLD
stmt_cri_pr_ps_06_04,expert,PR.PS-06.04,"Systems development and testing tools, processes, and environments employ security mechanisms to protect and improve the integrity and confidentiality of both the SDLC process and the resulting product (e.g., secured code repositories, segmented environments, automated builds, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,APS,,true,false,DTOP-OLD
