subjecttag_id,tag,source_document
tag_access_management,#access_management,DTOP-OLD
tag_authentication,#authentication,DTOP-OLD
tag_authorization,#authorization,DTOP-OLD
tag_credential_management,#credential_management,DTOP-OLD
tag_identity_and_access_management,#identity_and_access_management,DTOP-OLD
tag_multi_factor_authentication,#multi_factor_authentication,DTOP-OLD
tag_privileged_access,#privileged_access,DTOP-OLD
tag_session_management,#session_management,DTOP-OLD
tag_policy_management,#policy_management,DTOP-OLD
tag_supply_chain_management,#supply_chain_management,DTOP-OLD
tag_third_party_risk_management,#third_party_risk_management,DTOP-OLD
tag_application_security,#application_security,DTOP-OLD
tag_asset_management,#asset_management,DTOP-OLD
tag_patch_management,#patch_management,DTOP-OLD
tag_security_baselines,#security_baselines,DTOP-OLD
tag_system_hardening,#system_hardening,DTOP-OLD
tag_vulnerability_management,#vulnerability_management,DTOP-OLD
tag_data_protection,#data_protection,DTOP-OLD
tag_encryption,#encryption,DTOP-OLD
tag_infrastructure_security,#infrastructure_security,DTOP-OLD
tag_mobile_device_management,#mobile_device_management,DTOP-OLD
tag_security_logging_monitoring_and_alerting,#security_logging_monitoring_and_alerting,DTOP-OLD
tag_system_integrity,#system_integrity,DTOP-OLD
tag_endpoint_security,#endpoint_security,DTOP-OLD
tag_application_security_testing,#application_security_testing,DTOP-OLD
tag_secure_system_development,#secure_system_development,DTOP-OLD
tag_technology_development_lifecycle,#technology_development_lifecycle,DTOP-OLD
tag_architecture,#architecture,DTOP-OLD
tag_cryptography_management,#cryptography_management,DTOP-OLD
tag_mission_and_strategy,#mission_and_strategy,DTOP-OLD
tag_resilience,#resilience,DTOP-OLD
tag_penetration_testing,#penetration_testing,DTOP-OLD
tag_boundary_protection,#boundary_protection,DTOP-OLD
tag_network_diagrams,#network_diagrams,DTOP-OLD
tag_network_segmentation,#network_segmentation,DTOP-OLD
tag_infrastructure_protection,#infrastructure_protection,DTOP-OLD
tag_separation_of_duties,#separation_of_duties,DTOP-OLD
tag_critical_infrastructure,#critical_infrastructure,DTOP-OLD
tag_data_backup,#data_backup,DTOP-OLD
tag_disaster_recovery,#disaster_recovery,DTOP-OLD
