subcategory_id,path,source_document
sub_393bfc5f8d,DETECT / Adverse Event Analysis / Incident Declaration,DTOP-OLD
sub_0e5c67e000,RESPOND / Incident Management / Incident Triage & Validation,DTOP-OLD
sub_f7358164aa,RESPOND / Incident Management / Incident Escalation,DTOP-OLD
sub_b47445f942,RESPOND / Incident Management / Recovery Initiation,DTOP-OLD
sub_3a390c8b5c,RESPOND / Incident Analysis / Incident Magnitude Determination,DTOP-OLD
sub_1b3985c020,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,DTOP-OLD
sub_19b40dcdf8,RESPOND / Incident Mitigation / Incident Containment,DTOP-OLD
sub_e974df7fcd,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",DTOP-OLD
sub_124d504d9c,GOVERN / Organizational Context / Organizational Mission,DTOP-OLD
sub_eeb7db8d6b,GOVERN / Organizational Context / Stakeholder Service Expectations,DTOP-OLD
sub_e4951aa7fa,GOVERN / Organizational Context / Organizational Service Dependencies,DTOP-OLD
sub_5c8860694e,GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,DTOP-OLD
sub_806cdbee90,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,DTOP-OLD
sub_4ea306fb5b,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",DTOP-OLD
sub_267748d877,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,DTOP-OLD
sub_07088fece7,GOVERN / Independent Audit Function / Independent Audit Procedures,DTOP-OLD
sub_04969277fb,GOVERN / Independent Audit Function / Independent Audit Reporting,DTOP-OLD
sub_e9cbbdc0e1,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",DTOP-OLD
sub_1bbf8e7526,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,DTOP-OLD
sub_99b7def2fb,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,DTOP-OLD
sub_17e5c7340a,GOVERN / Risk Management Strategy / Risk Response Strategic Direction,DTOP-OLD
sub_00f82e92f6,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",DTOP-OLD
sub_603dab7350,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",DTOP-OLD
sub_7728f297b4,GOVERN / Oversight / Risk Management Strategy Outcomes Review,DTOP-OLD
sub_e198d54900,GOVERN / Oversight / Risk Management Performance Measurement,DTOP-OLD
sub_a07818d703,GOVERN / Independent Risk Management Function / Independent Risk Management Function,DTOP-OLD
sub_279d59976e,GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,DTOP-OLD
sub_adff4816ea,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,DTOP-OLD
sub_8cd58b6604,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,DTOP-OLD
sub_82be534ddd,GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,DTOP-OLD
sub_867e916580,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",DTOP-OLD
sub_d92af53917,GOVERN / Risk Management Strategy / Lines of Communication,DTOP-OLD
sub_50d657c596,GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,DTOP-OLD
sub_40b41a2499,GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,DTOP-OLD
sub_875424eb59,GOVERN / Supply Chain Risk Management / Supplier Identification & Prioritization,DTOP-OLD
sub_b31e118be9,GOVERN / Risk Management Strategy / Strategic Opportunities,DTOP-OLD
sub_f5fd26e0bf,GOVERN / Risk Management Strategy / Enterprise Risk Integration,DTOP-OLD
sub_b646375156,GOVERN / Risk Management Strategy / Standardized Risk Management Method,DTOP-OLD
sub_3cff63c563,GOVERN / Oversight / Risk Management Strategy Review & Adjustment,DTOP-OLD
sub_cd9c669381,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,DTOP-OLD
sub_32ddb1de58,GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Integration,DTOP-OLD
sub_62824a4eb0,"GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",DTOP-OLD
