source_id,target_id,rel_type,statement_id,source_document
stmt_cri_pr_aa_05_02,stmt_mat_idp_001,ALSO_IN,PR.AA-05.02,DTOP-OLD
stmt_cri_pr_aa_05_02,stmt_mat_xdr_001,ALSO_IN,PR.AA-05.02,DTOP-OLD
stmt_cri_pr_aa_05_02,stmt_mat_hris_002,ALSO_IN,PR.AA-05.02,DTOP-OLD
stmt_cri_pr_aa_05_02,stmt_mat_csp_001,ALSO_IN,PR.AA-05.02,DTOP-OLD
stmt_cri_pr_aa_05_03,stmt_mat_idp_002,ALSO_IN,PR.AA-05.03,DTOP-OLD
stmt_cri_pr_aa_05_03,stmt_mat_xdr_002,ALSO_IN,PR.AA-05.03,DTOP-OLD
stmt_cri_pr_aa_05_03,stmt_mat_hris_003,ALSO_IN,PR.AA-05.03,DTOP-OLD
stmt_cri_pr_aa_05_03,stmt_mat_csp_002,ALSO_IN,PR.AA-05.03,DTOP-OLD
stmt_cri_pr_aa_05_04,stmt_mat_idp_003,ALSO_IN,PR.AA-05.04,DTOP-OLD
stmt_cri_pr_aa_05_04,stmt_mat_xdr_003,ALSO_IN,PR.AA-05.04,DTOP-OLD
stmt_cri_pr_aa_05_04,stmt_mat_hris_004,ALSO_IN,PR.AA-05.04,DTOP-OLD
stmt_cri_pr_aa_05_04,stmt_mat_csp_003,ALSO_IN,PR.AA-05.04,DTOP-OLD
stmt_cri_pr_ps_01_01,stmt_mat_idp_004,ALSO_IN,PR.PS-01.01,DTOP-OLD
stmt_cri_pr_ps_01_01,stmt_mat_xdr_006,ALSO_IN,PR.PS-01.01,DTOP-OLD
stmt_cri_pr_ps_01_01,stmt_mat_hris_005,ALSO_IN,PR.PS-01.01,DTOP-OLD
stmt_cri_pr_ps_01_01,stmt_mat_csp_004,ALSO_IN,PR.PS-01.01,DTOP-OLD
stmt_cri_pr_ps_01_08,stmt_mat_idp_005,ALSO_IN,PR.PS-01.08,DTOP-OLD
stmt_cri_pr_ps_01_08,stmt_mat_xdr_007,ALSO_IN,PR.PS-01.08,DTOP-OLD
stmt_cri_pr_ps_01_08,stmt_mat_hris_006,ALSO_IN,PR.PS-01.08,DTOP-OLD
stmt_cri_pr_ps_01_08,stmt_mat_csp_005,ALSO_IN,PR.PS-01.08,DTOP-OLD
stmt_cri_pr_ps_01_09,stmt_mat_idp_006,ALSO_IN,PR.PS-01.09,DTOP-OLD
stmt_cri_pr_ps_01_09,stmt_mat_xdr_008,ALSO_IN,PR.PS-01.09,DTOP-OLD
stmt_cri_pr_ps_01_09,stmt_mat_hris_007,ALSO_IN,PR.PS-01.09,DTOP-OLD
stmt_cri_pr_ps_01_09,stmt_mat_csp_006,ALSO_IN,PR.PS-01.09,DTOP-OLD
stmt_cri_pr_ps_02_01,stmt_mat_idp_007,ALSO_IN,PR.PS-02.01,DTOP-OLD
