part_id,chapter_id,part_label,part_title,first_section,last_section,source_document
PT_II_1,CH_II,Part 1,General Provisions,19,21,KB 2/Thailand/Personal Data Protection Act.pdf
PT_II_2,CH_II,Part 2,Personal Data Collection,22,26,KB 2/Thailand/Personal Data Protection Act.pdf
PT_II_3,CH_II,Part 3,Use or Disclosure of Personal Data,27,29,KB 2/Thailand/Personal Data Protection Act.pdf
PT_VII_1,CH_VII,Part I,Criminal Liability,79,81,KB 2/Thailand/Personal Data Protection Act.pdf
PT_VII_2,CH_VII,Part II,Administrative Liability,82,90,KB 2/Thailand/Personal Data Protection Act.pdf
