clause_id,section_id,clause_label,clause_type,parent_clause_id,text,source_document
s1_p1,s1,paragraph one,paragraph,,"This Act is called the “Personal Data Protection Act, B.E. 2562",KB 2/Thailand/Personal Data Protection Act.pdf
s2_p1,s2,paragraph one,paragraph,,"This Act shall come into effect on the date following the date of the publication in the Government Gazette, except for the provisions of Chapter II, Chapter III, Chapter V, Chapter VI, Chapter VII, and Section 95, and Section 96, which shall come into effect after the lapse of a period of one year from the date of its publication in the Government Gazette.",KB 2/Thailand/Personal Data Protection Act.pdf
s3_p1,s3,paragraph one,paragraph,,"In the event that there is any sector-specific law governing the protection of Personal Data in any manner, any business or any entity, the provisions of such law shall apply, except:",KB 2/Thailand/Personal Data Protection Act.pdf
s3_1,s3,(1),item,s3_p1,"for the provisions with respect to the collection, use, or disclosure of Personal Data and the provisions with respect to the rights of data subjects including relevant penalties, the provisions of this Act shall apply additionally, regardless of whether they are repetitious with the above specific law.",KB 2/Thailand/Personal Data Protection Act.pdf
s3_2,s3,(2),item,s3_p1,"for the provisions with respect to complaints, provisions granting power to the expert committee to issue an order to protect the data subject, and provisions with respect to the power and duties of the Competent Official, including relevant penalties, the provisions of this Act shall apply in the following circumstances:",KB 2/Thailand/Personal Data Protection Act.pdf
s3_2_a,s3,(2)(a),sub-item,s3_2,in the event that such law has no provision with respect to complaints;,KB 2/Thailand/Personal Data Protection Act.pdf
s3_2_b,s3,(2)(b),sub-item,s3_2,"in the event that such law has the provisions giving the power to the competent official, who has the power to consider the complaints under such law, to issue an order to protect the data subject, but such power is not equal to the power of the expert committee under this Act; and either the competent official who has power under such law makes a request to the expert committee, or data subject files a complaint with the expert committee under this Act, as the case may be.",KB 2/Thailand/Personal Data Protection Act.pdf
s4_p1,s4,paragraph one,paragraph,,This Act shall not apply to:,KB 2/Thailand/Personal Data Protection Act.pdf
s4_1,s4,(1),item,s4_p1,"the collection, use, or disclosure of the Personal Data by a Person who collects such Personal Data for personal benefit or household activity of such Person only;",KB 2/Thailand/Personal Data Protection Act.pdf
s4_2,s4,(2),item,s4_p1,"operations of public authorities having the duties to maintain state security, including financial security of the state or public safety, including the duties with respect to the prevention and suppression of money laundering, forensic science or cybersecurity;",KB 2/Thailand/Personal Data Protection Act.pdf
