right_id,right_name,section_id,clause_id,source_document
RIGHT_WITHDRAW_CONSENT,Right to withdraw consent,s19,s19_p5,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_ACCESS,Right to request access to and obtain a copy of the Personal Data,s30,s30_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_PORTABILITY,Right to receive the Personal Data in a readable or commonly used format,s31,s31_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_OBJECT,"Right to object the collection, use, or disclosure of the Personal Data",s32,s32_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_ERASURE,"Right to request erasure, destruction or anonymization of the Personal Data",s33,s33_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_RESTRICTION,Right to request restriction of the use of the Personal Data,s34,s34_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_RECTIFICATION,Right to request the Data Controller to act in compliance with Section 35,s36,s36_p1,KB 2/Thailand/Personal Data Protection Act.pdf
RIGHT_COMPLAIN,Right to file a complaint,s73,s73_p1,KB 2/Thailand/Personal Data Protection Act.pdf
