source_id,target_id,rel_type,citation
s2_p1,s95,REFERENCES,Section 95
s2_p1,s96,REFERENCES,Section 96
s8_p3,s13,REFERENCES,Section 13
s9_p1,s8,REFERENCES,Section 8
s9_p5,s8,REFERENCES,Section 8
s10_p1,s8,REFERENCES,Section 8
s10_p1,s11,REFERENCES,Section 11
s10_p2,s8,REFERENCES,Section 8
s10_p3,s8,REFERENCES,Section 8
s13_p1,s12,REFERENCES,Section 12
s13_4,s11,REFERENCES,Section 11
s23_1,s24,REFERENCES,Section 24
s23_6,s19,REFERENCES,Section 19
s23_6,s30,REFERENCES,Section 30
s23_6,s31,REFERENCES,Section 31
s23_6,s32,REFERENCES,Section 32
s23_6,s33,REFERENCES,Section 33
s23_6,s34,REFERENCES,Section 34
s23_6,s36,REFERENCES,Section 36
s23_6,s73,REFERENCES,Section 73
s25_2,s24,REFERENCES,Section 24
s25_2,s26,REFERENCES,Section 26
s25_p2,s21,REFERENCES,Section 21
s25_p2,s23,REFERENCES,Section 23
s25_p2_4,s23,REFERENCES,Section 23
s27_p1,s24,REFERENCES,Section 24
s27_p1,s26,REFERENCES,Section 26
s27_p3,s39,REFERENCES,Section 39
s28_p1,s16,REFERENCES,Section 16
s29_p1,s28,REFERENCES,Section 28
s29_p3,s28,REFERENCES,Section 28
s30_p3,s39,REFERENCES,Section 39
s31_p2,s24,REFERENCES,Section 24
s31_p3,s39,REFERENCES,Section 39
s32_1,s24,REFERENCES,Section 24
s32_p3,s39,REFERENCES,Section 39
s33_3,s32,REFERENCES,Section 32
s33_p2,s24,REFERENCES,Section 24
s33_p2,s26,REFERENCES,Section 26
s34_1,s36,REFERENCES,Section 36
s34_2,s33,REFERENCES,Section 33
s34_4,s32,REFERENCES,Section 32
s36_p1,s35,REFERENCES,Section 35
s36_p1,s39,REFERENCES,Section 39
s36_p2,s34,REFERENCES,Section 34
s37_3,s24,REFERENCES,Section 24
s37_3,s26,REFERENCES,Section 26
s37_3,s33,REFERENCES,Section 33
s37_5,s5,REFERENCES,Section 5
s38_p1,s37,REFERENCES,Section 37
s38_2,s26,REFERENCES,Section 26
s38_2,s41,REFERENCES,Section 41
s38_p2,s5,REFERENCES,Section 5
s38_p2,s37,REFERENCES,Section 37
s39_6,s27,REFERENCES,Section 27
s39_7,s30,REFERENCES,Section 30
s39_7,s31,REFERENCES,Section 31
s39_7,s32,REFERENCES,Section 32
s39_7,s36,REFERENCES,Section 36
s39_8,s37,REFERENCES,Section 37
s39_p2,s5,REFERENCES,Section 5
s39_p3,s26,REFERENCES,Section 26
s40_p4,s26,REFERENCES,Section 26
s41_3,s26,REFERENCES,Section 26
s41_p2,s29,REFERENCES,Section 29
s41_p4,s37,REFERENCES,Section 37
s44_p1,s43,REFERENCES,Section 43
s44_3,s29,REFERENCES,Section 29
s45_p1,s44,REFERENCES,Section 44
s46_1,s94,REFERENCES,Section 94
s47_p1,s46,REFERENCES,Section 46
s48_p3,s11,REFERENCES,Section 11
s48_p3,s13,REFERENCES,Section 13
s49_p1,s48,REFERENCES,Section 48
s49_p4,s48,REFERENCES,Section 48
s50_p1,s48,REFERENCES,Section 48
s50_p2,s48,REFERENCES,Section 48
s50_p3,s48,REFERENCES,Section 48
s51_p1,s48,REFERENCES,Section 48
s52_p1,s48,REFERENCES,Section 48
s55_p4,s53,REFERENCES,Section 53
s59_8,s62,REFERENCES,Section 62
s62_p1,s60,REFERENCES,Section 60
s62_3,s58,REFERENCES,Section 58
s62_3,s59,REFERENCES,Section 59
s74_p1,s73,REFERENCES,Section 73
s74_p2,s72,REFERENCES,Section 72
s79_p1,s27,REFERENCES,Section 27
s79_p1,s28,REFERENCES,Section 28
s79_p1,s26,REFERENCES,Section 26
s79_p2,s27,REFERENCES,Section 27
s79_p2,s28,REFERENCES,Section 28
s79_p2,s26,REFERENCES,Section 26
s82_p1,s23,REFERENCES,Section 23
s82_p1,s30,REFERENCES,Section 30
s82_p1,s39,REFERENCES,Section 39
s82_p1,s41,REFERENCES,Section 41
s82_p1,s42,REFERENCES,Section 42
s82_p1,s19,REFERENCES,Section 19
s82_p1,s25,REFERENCES,Section 25
s83_p1,s21,REFERENCES,Section 21
s83_p1,s22,REFERENCES,Section 22
s83_p1,s24,REFERENCES,Section 24
s83_p1,s25,REFERENCES,Section 25
s83_p1,s27,REFERENCES,Section 27
s83_p1,s28,REFERENCES,Section 28
s83_p1,s32,REFERENCES,Section 32
s83_p1,s37,REFERENCES,Section 37
s83_p1,s29,REFERENCES,Section 29
s84_p1,s26,REFERENCES,Section 26
s84_p1,s27,REFERENCES,Section 27
s84_p1,s28,REFERENCES,Section 28
s84_p1,s29,REFERENCES,Section 29
s85_p1,s41,REFERENCES,Section 41
s85_p1,s42,REFERENCES,Section 42
s86_p1,s40,REFERENCES,Section 40
s86_p1,s29,REFERENCES,Section 29
s86_p1,s37,REFERENCES,Section 37
s86_p1,s38,REFERENCES,Section 38
s87_p1,s26,REFERENCES,Section 26
s87_p1,s29,REFERENCES,Section 29
s88_p1,s39,REFERENCES,Section 39
s88_p1,s41,REFERENCES,Section 41
s89_p1,s75,REFERENCES,Section 75
s89_p1,s76,REFERENCES,Section 76
s90_p4,s74,REFERENCES,Section 74
s91_p1,s8,REFERENCES,Section 8
s91_p2,s8,REFERENCES,Section 8
s92_p1,s91,REFERENCES,Section 91
s92_p2,s93,REFERENCES,Section 93
s93_p2,s92,REFERENCES,Section 92
