lawfulbasis_id,basis_name,section_id,clause_id,source_document
LB_CONSENT,Consent of the data subject,s19,s19_p1,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_1,"Historical documents or archives for public interest, or research or statistics",s24,s24_1,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_2,"Preventing or suppressing a danger to a Person's life, body or health",s24,s24_2,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_3,Performance of a contract to which the data subject is a party,s24,s24_3,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_4,Performance of a task carried out in the public interest or exercise of official authority,s24,s24_4,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_5,Legitimate interests of the Data Controller or any other Persons,s24,s24_5,KB 2/Thailand/Personal Data Protection Act.pdf
LB_24_6,Compliance with a law to which the Data Controller is subjected,s24,s24_6,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_EXPLICIT_CONSENT,Explicit consent for sensitive Personal Data,s26,s26_p1,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_1,"Prevent or suppress a danger to life, body or health where the data subject is incapable of giving consent",s26,s26_1,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_2,"Legitimate activities of foundations, associations or not-for-profit bodies",s26,s26_2,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_3,Information disclosed to the public with the explicit consent of the data subject,s26,s26_3,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_4,"Establishment, compliance, exercise or defense of legal claims",s26,s26_4,KB 2/Thailand/Personal Data Protection Act.pdf
LB_26_5,Compliance with a legal obligation for the purposes in Section 26(5)(a)-(e),s26,s26_5,KB 2/Thailand/Personal Data Protection Act.pdf
