chapter_id,chapter_label,chapter_title,first_section,last_section,source_document
CH_PRELIM,,Preliminary Provisions,1,7,KB 2/Thailand/Personal Data Protection Act.pdf
CH_I,Chapter I,Personal Data Protection Committee,8,18,KB 2/Thailand/Personal Data Protection Act.pdf
CH_II,Chapter II,Personal Data Protection,19,29,KB 2/Thailand/Personal Data Protection Act.pdf
CH_III,Chapter III,Rights of the Data subject,30,42,KB 2/Thailand/Personal Data Protection Act.pdf
CH_IV,Chapter IV,Office of the Personal Data Protection Committee,43,70,KB 2/Thailand/Personal Data Protection Act.pdf
CH_V,Chapter V,Complaints,71,76,KB 2/Thailand/Personal Data Protection Act.pdf
CH_VI,Chapter VI,Civil Liability,77,78,KB 2/Thailand/Personal Data Protection Act.pdf
CH_VII,Chapter VII,Penalties,79,90,KB 2/Thailand/Personal Data Protection Act.pdf
CH_TRANS,,Transitional Provisions,91,96,KB 2/Thailand/Personal Data Protection Act.pdf
