section_id,section_number,chapter_id,part_id,clause_count,source_document
s1,1,CH_PRELIM,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s2,2,CH_PRELIM,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s3,3,CH_PRELIM,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s4,4,CH_PRELIM,,9,KB 2/Thailand/Personal Data Protection Act.pdf
s5,5,CH_PRELIM,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s6,6,CH_PRELIM,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s7,7,CH_PRELIM,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s8,8,CH_I,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s9,9,CH_I,,9,KB 2/Thailand/Personal Data Protection Act.pdf
s10,10,CH_I,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s11,11,CH_I,,8,KB 2/Thailand/Personal Data Protection Act.pdf
s12,12,CH_I,,3,KB 2/Thailand/Personal Data Protection Act.pdf
s13,13,CH_I,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s14,14,CH_I,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s15,15,CH_I,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s16,16,CH_I,,14,KB 2/Thailand/Personal Data Protection Act.pdf
s17,17,CH_I,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s18,18,CH_I,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s19,19,CH_II,PT_II_1,7,KB 2/Thailand/Personal Data Protection Act.pdf
s20,20,CH_II,PT_II_1,6,KB 2/Thailand/Personal Data Protection Act.pdf
s21,21,CH_II,PT_II_1,4,KB 2/Thailand/Personal Data Protection Act.pdf
s22,22,CH_II,PT_II_2,1,KB 2/Thailand/Personal Data Protection Act.pdf
s23,23,CH_II,PT_II_2,7,KB 2/Thailand/Personal Data Protection Act.pdf
s24,24,CH_II,PT_II_2,7,KB 2/Thailand/Personal Data Protection Act.pdf
s25,25,CH_II,PT_II_2,9,KB 2/Thailand/Personal Data Protection Act.pdf
s26,26,CH_II,PT_II_2,13,KB 2/Thailand/Personal Data Protection Act.pdf
s27,27,CH_II,PT_II_3,3,KB 2/Thailand/Personal Data Protection Act.pdf
s28,28,CH_II,PT_II_3,8,KB 2/Thailand/Personal Data Protection Act.pdf
s29,29,CH_II,PT_II_3,3,KB 2/Thailand/Personal Data Protection Act.pdf
s30,30,CH_III,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s31,31,CH_III,,5,KB 2/Thailand/Personal Data Protection Act.pdf
s32,32,CH_III,,8,KB 2/Thailand/Personal Data Protection Act.pdf
s33,33,CH_III,,9,KB 2/Thailand/Personal Data Protection Act.pdf
s34,34,CH_III,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s35,35,CH_III,,1,KB 2/Thailand/Personal Data Protection Act.pdf
s36,36,CH_III,,2,KB 2/Thailand/Personal Data Protection Act.pdf
s37,37,CH_III,,6,KB 2/Thailand/Personal Data Protection Act.pdf
s38,38,CH_III,,4,KB 2/Thailand/Personal Data Protection Act.pdf
s39,39,CH_III,,11,KB 2/Thailand/Personal Data Protection Act.pdf
s40,40,CH_III,,7,KB 2/Thailand/Personal Data Protection Act.pdf
s41,41,CH_III,,10,KB 2/Thailand/Personal Data Protection Act.pdf
s42,42,CH_III,,8,KB 2/Thailand/Personal Data Protection Act.pdf
