definition_id,term,definition_text,defined_in_section,source_document
DEF_PERSONAL_DATA,Personal Data,"any information relating to a Person, which enables the identification of such Person, whether directly or indirectly, but not including the information of the deceased Persons in particular",s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_DATA_CONTROLLER,Data Controller,"a Person or a juristic person having the power and duties to make decisions regarding the collection, use, or disclosure of the Personal Data",s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_DATA_PROCESSOR,Data Processor,"a Person or a juristic person who operates in relation to the collection, use or disclosure of the Personal Data pursuant to the orders given by or on behalf of a Data Controller, whereby such Person or juristic person is not the Data Controller.",s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_PERSON,Person,a natural person,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_COMMITTEE,Committee,the Personal Data Protection Committee,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_COMPETENT_OFFICIAL,Competent Official,any person appointed by the Minister to perform acts under this Act,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_OFFICE,Office,the Office of the Personal Data Protection Committee,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_SECRETARY_GENERAL,Secretary-General,the Secretary-General of the Personal Data Protection Committee,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_MINISTER,Minister,the Minister who is in charge under this Act.,s6,KB 2/Thailand/Personal Data Protection Act.pdf
DEF_BIOMETRIC_DATA,biometric data,"the Personal Data arising from the use of technics or technology related to the physical or behavioral dominance of Person, which can be used to identify such Person apart from other Persons, such as the facial recognition data, iris recognition data or fingerprint recognition data.",s26,KB 2/Thailand/Personal Data Protection Act.pdf
