start_id,end_id,relationship_type
HITRUST-CAT-0,HITRUST-00.a,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.a,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.b,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.c,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.d,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.e,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.f,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.g,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.h,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.i,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.j,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.k,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.l,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.m,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.n,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.o,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.p,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.q,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.r,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.s,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.t,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.u,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.v,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.w,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.x,HAS_CONTROL
HITRUST-CAT-1,HITRUST-01.y,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.a,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.b,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.c,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.d,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.e,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.f,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.g,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.h,HAS_CONTROL
HITRUST-CAT-2,HITRUST-02.i,HAS_CONTROL
HITRUST-CAT-3,HITRUST-03.a,HAS_CONTROL
HITRUST-CAT-3,HITRUST-03.b,HAS_CONTROL
HITRUST-CAT-3,HITRUST-03.c,HAS_CONTROL
HITRUST-CAT-3,HITRUST-03.d,HAS_CONTROL
HITRUST-CAT-4,HITRUST-04.a,HAS_CONTROL
HITRUST-CAT-4,HITRUST-04.b,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.a,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.b,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.c,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.d,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.e,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.f,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.g,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.h,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.i,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.j,HAS_CONTROL
HITRUST-CAT-5,HITRUST-05.k,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.a,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.b,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.c,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.d,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.e,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.f,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.g,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.h,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.i,HAS_CONTROL
HITRUST-CAT-6,HITRUST-06.j,HAS_CONTROL
HITRUST-CAT-7,HITRUST-07.a,HAS_CONTROL
HITRUST-CAT-7,HITRUST-07.b,HAS_CONTROL
HITRUST-CAT-7,HITRUST-07.c,HAS_CONTROL
HITRUST-CAT-7,HITRUST-07.d,HAS_CONTROL
HITRUST-CAT-7,HITRUST-07.e,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.a,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.b,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.c,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.d,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.e,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.f,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.g,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.h,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.i,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.j,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.k,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.l,HAS_CONTROL
HITRUST-CAT-8,HITRUST-08.m,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.a,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.b,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.c,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.d,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.e,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.f,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.g,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.h,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.i,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.j,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.k,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.l,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.m,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.n,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.o,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.p,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.q,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.r,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.s,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.t,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.u,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.v,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.w,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.x,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.y,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.z,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.aa,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.ab,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.ac,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.ad,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.ae,HAS_CONTROL
HITRUST-CAT-9,HITRUST-09.af,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.a,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.b,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.c,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.d,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.e,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.f,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.g,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.h,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.i,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.j,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.k,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.l,HAS_CONTROL
HITRUST-CAT-10,HITRUST-10.m,HAS_CONTROL
HITRUST-CAT-11,HITRUST-11.a,HAS_CONTROL
HITRUST-CAT-11,HITRUST-11.b,HAS_CONTROL
HITRUST-CAT-11,HITRUST-11.c,HAS_CONTROL
HITRUST-CAT-11,HITRUST-11.d,HAS_CONTROL
HITRUST-CAT-11,HITRUST-11.e,HAS_CONTROL
HITRUST-CAT-12,HITRUST-12.a,HAS_CONTROL
HITRUST-CAT-12,HITRUST-12.b,HAS_CONTROL
HITRUST-CAT-12,HITRUST-12.c,HAS_CONTROL
HITRUST-CAT-12,HITRUST-12.d,HAS_CONTROL
HITRUST-CAT-12,HITRUST-12.e,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.a,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.b,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.c,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.d,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.e,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.f,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.g,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.h,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.i,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.j,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.k,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.l,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.m,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.n,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.o,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.p,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.q,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.r,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.s,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.t,HAS_CONTROL
HITRUST-CAT-13,HITRUST-13.u,HAS_CONTROL
