framework_id,assurance_level
HITRUST 11.6.0,Level 1 (Validated)
HITRUST 11.6.0,Level 2 (Validated)
HITRUST 11.6.0,Level 3 (Certified)
HITRUST 11.6.0,Level CMS
HITRUST 11.6.0,Level HIX
HITRUST 11.6.0,Level PCI
HITRUST 11.6.0,Level NYDOH
HITRUST 11.6.0,Level DGF
HITRUST 11.6.0,Level HICP
HITRUST 11.6.0,Level NIS2
HITRUST 11.6.0,Level CIS
HITRUST 11.6.0,Level HIE
HITRUST 11.6.0,Level Federal
HITRUST 11.6.0,Level HIPAA
HITRUST 11.6.0,Level PHIPA
HITRUST 11.6.0,Level GDPR
HITRUST 11.6.0,Level CCPA
HITRUST 11.6.0,Level GLBA
