start_id,end_id,relationship_type
HITRUST-00.a,HITRUST-00.a-OBJ,HAS_OBJECTIVE
HITRUST-01.a,HITRUST-01.a-OBJ,HAS_OBJECTIVE
HITRUST-01.b,HITRUST-01.b-OBJ,HAS_OBJECTIVE
HITRUST-01.c,HITRUST-01.c-OBJ,HAS_OBJECTIVE
HITRUST-01.d,HITRUST-01.d-OBJ,HAS_OBJECTIVE
HITRUST-01.e,HITRUST-01.e-OBJ,HAS_OBJECTIVE
HITRUST-01.f,HITRUST-01.f-OBJ,HAS_OBJECTIVE
HITRUST-01.g,HITRUST-01.g-OBJ,HAS_OBJECTIVE
HITRUST-01.h,HITRUST-01.h-OBJ,HAS_OBJECTIVE
HITRUST-01.i,HITRUST-01.i-OBJ,HAS_OBJECTIVE
HITRUST-01.j,HITRUST-01.j-OBJ,HAS_OBJECTIVE
HITRUST-01.k,HITRUST-01.k-OBJ,HAS_OBJECTIVE
HITRUST-01.l,HITRUST-01.l-OBJ,HAS_OBJECTIVE
HITRUST-01.m,HITRUST-01.m-OBJ,HAS_OBJECTIVE
HITRUST-01.n,HITRUST-01.n-OBJ,HAS_OBJECTIVE
HITRUST-01.o,HITRUST-01.o-OBJ,HAS_OBJECTIVE
HITRUST-01.p,HITRUST-01.p-OBJ,HAS_OBJECTIVE
HITRUST-01.q,HITRUST-01.q-OBJ,HAS_OBJECTIVE
HITRUST-01.r,HITRUST-01.r-OBJ,HAS_OBJECTIVE
HITRUST-01.s,HITRUST-01.s-OBJ,HAS_OBJECTIVE
HITRUST-01.t,HITRUST-01.t-OBJ,HAS_OBJECTIVE
HITRUST-01.u,HITRUST-01.u-OBJ,HAS_OBJECTIVE
HITRUST-01.v,HITRUST-01.v-OBJ,HAS_OBJECTIVE
HITRUST-01.w,HITRUST-01.w-OBJ,HAS_OBJECTIVE
HITRUST-01.x,HITRUST-01.x-OBJ,HAS_OBJECTIVE
HITRUST-01.y,HITRUST-01.y-OBJ,HAS_OBJECTIVE
HITRUST-02.a,HITRUST-02.a-OBJ,HAS_OBJECTIVE
HITRUST-02.b,HITRUST-02.b-OBJ,HAS_OBJECTIVE
HITRUST-02.c,HITRUST-02.c-OBJ,HAS_OBJECTIVE
HITRUST-02.d,HITRUST-02.d-OBJ,HAS_OBJECTIVE
HITRUST-02.e,HITRUST-02.e-OBJ,HAS_OBJECTIVE
HITRUST-02.f,HITRUST-02.f-OBJ,HAS_OBJECTIVE
HITRUST-02.g,HITRUST-02.g-OBJ,HAS_OBJECTIVE
HITRUST-02.h,HITRUST-02.h-OBJ,HAS_OBJECTIVE
HITRUST-02.i,HITRUST-02.i-OBJ,HAS_OBJECTIVE
HITRUST-03.a,HITRUST-03.a-OBJ,HAS_OBJECTIVE
HITRUST-03.b,HITRUST-03.b-OBJ,HAS_OBJECTIVE
HITRUST-03.c,HITRUST-03.c-OBJ,HAS_OBJECTIVE
HITRUST-03.d,HITRUST-03.d-OBJ,HAS_OBJECTIVE
HITRUST-04.a,HITRUST-04.a-OBJ,HAS_OBJECTIVE
HITRUST-04.b,HITRUST-04.b-OBJ,HAS_OBJECTIVE
HITRUST-05.a,HITRUST-05.a-OBJ,HAS_OBJECTIVE
HITRUST-05.b,HITRUST-05.b-OBJ,HAS_OBJECTIVE
HITRUST-05.c,HITRUST-05.c-OBJ,HAS_OBJECTIVE
HITRUST-05.d,HITRUST-05.d-OBJ,HAS_OBJECTIVE
HITRUST-05.e,HITRUST-05.e-OBJ,HAS_OBJECTIVE
HITRUST-05.f,HITRUST-05.f-OBJ,HAS_OBJECTIVE
HITRUST-05.g,HITRUST-05.g-OBJ,HAS_OBJECTIVE
HITRUST-05.h,HITRUST-05.h-OBJ,HAS_OBJECTIVE
HITRUST-05.i,HITRUST-05.i-OBJ,HAS_OBJECTIVE
HITRUST-05.j,HITRUST-05.j-OBJ,HAS_OBJECTIVE
HITRUST-05.k,HITRUST-05.k-OBJ,HAS_OBJECTIVE
HITRUST-06.a,HITRUST-06.a-OBJ,HAS_OBJECTIVE
HITRUST-06.b,HITRUST-06.b-OBJ,HAS_OBJECTIVE
HITRUST-06.c,HITRUST-06.c-OBJ,HAS_OBJECTIVE
HITRUST-06.d,HITRUST-06.d-OBJ,HAS_OBJECTIVE
HITRUST-06.e,HITRUST-06.e-OBJ,HAS_OBJECTIVE
HITRUST-06.f,HITRUST-06.f-OBJ,HAS_OBJECTIVE
HITRUST-06.g,HITRUST-06.g-OBJ,HAS_OBJECTIVE
HITRUST-06.h,HITRUST-06.h-OBJ,HAS_OBJECTIVE
HITRUST-06.i,HITRUST-06.i-OBJ,HAS_OBJECTIVE
HITRUST-06.j,HITRUST-06.j-OBJ,HAS_OBJECTIVE
HITRUST-07.a,HITRUST-07.a-OBJ,HAS_OBJECTIVE
HITRUST-07.b,HITRUST-07.b-OBJ,HAS_OBJECTIVE
HITRUST-07.c,HITRUST-07.c-OBJ,HAS_OBJECTIVE
HITRUST-07.d,HITRUST-07.d-OBJ,HAS_OBJECTIVE
HITRUST-07.e,HITRUST-07.e-OBJ,HAS_OBJECTIVE
HITRUST-08.a,HITRUST-08.a-OBJ,HAS_OBJECTIVE
HITRUST-08.b,HITRUST-08.b-OBJ,HAS_OBJECTIVE
HITRUST-08.c,HITRUST-08.c-OBJ,HAS_OBJECTIVE
HITRUST-08.d,HITRUST-08.d-OBJ,HAS_OBJECTIVE
HITRUST-08.e,HITRUST-08.e-OBJ,HAS_OBJECTIVE
HITRUST-08.f,HITRUST-08.f-OBJ,HAS_OBJECTIVE
HITRUST-08.g,HITRUST-08.g-OBJ,HAS_OBJECTIVE
HITRUST-08.h,HITRUST-08.h-OBJ,HAS_OBJECTIVE
HITRUST-08.i,HITRUST-08.i-OBJ,HAS_OBJECTIVE
HITRUST-08.j,HITRUST-08.j-OBJ,HAS_OBJECTIVE
HITRUST-08.k,HITRUST-08.k-OBJ,HAS_OBJECTIVE
HITRUST-08.l,HITRUST-08.l-OBJ,HAS_OBJECTIVE
HITRUST-08.m,HITRUST-08.m-OBJ,HAS_OBJECTIVE
HITRUST-09.a,HITRUST-09.a-OBJ,HAS_OBJECTIVE
HITRUST-09.b,HITRUST-09.b-OBJ,HAS_OBJECTIVE
HITRUST-09.c,HITRUST-09.c-OBJ,HAS_OBJECTIVE
HITRUST-09.d,HITRUST-09.d-OBJ,HAS_OBJECTIVE
HITRUST-09.e,HITRUST-09.e-OBJ,HAS_OBJECTIVE
HITRUST-09.f,HITRUST-09.f-OBJ,HAS_OBJECTIVE
HITRUST-09.g,HITRUST-09.g-OBJ,HAS_OBJECTIVE
HITRUST-09.h,HITRUST-09.h-OBJ,HAS_OBJECTIVE
HITRUST-09.i,HITRUST-09.i-OBJ,HAS_OBJECTIVE
HITRUST-09.j,HITRUST-09.j-OBJ,HAS_OBJECTIVE
HITRUST-09.k,HITRUST-09.k-OBJ,HAS_OBJECTIVE
HITRUST-09.l,HITRUST-09.l-OBJ,HAS_OBJECTIVE
