statute_id,short_name,citation,jurisdiction,category,section_id,description,source_document
stat_hcf_1347,Health Care Fraud,18 U.S.C. § 1347,Federal,Criminal,sec_2_fed_criminal,"It is a crime to knowingly and willfully execute (or attempt to execute) a scheme to defraud any health care benefit program, or to obtain money or property from a health care benefit program, through a false representation. This law applies not only to federal health care programs but to most other types of health care benefit programs, such as commercial health insurance plans.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_false_stmt_1035,False Statements Relating to Health Care Matters,18 U.S.C. § 1035,Federal,Criminal,sec_2_fed_criminal,"It is a crime to knowingly and willfully falsify or conceal a material fact, make any materially false statement, or use any materially false, fictitious, or fraudulent writing or document in connection with the delivery of or payment for health care benefits, items, or services.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_theft_669,Theft and Embesslement Relating to Health Care Benefit,18 U.S.C. § 669,Federal,Criminal,sec_2_fed_criminal,"It is a crime to knowingly and willfully embezzle, steal, or intentionally misapply any assets of a health care benefit program.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_fca_criminal_287,False Claims Act,18 U.S.C. § 287,Federal,Criminal,sec_2_fed_criminal,"The False Claims Act is one of the primary tools used by the federal government to prosecute fraudulent billing practices under Medicare and Medicaid. The statute prohibits the presenting of a claim to the United States that the claimant knows to be “false, fictitious, or fraudulent.”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_mail_wire,Mail and Wire Fraud,18 U.S.C. §§1341 and 1343,Federal,Criminal,sec_2_fed_criminal,"As correspondence with Medicare and Medicaid generally involves the use of the mails and electronic wiring systems, parties engaged in submitting false claims to the government frequently fall subject to prosecution under the mail and wire fraud statutes. Consequently, these two statutes, which prohibit the use of the mails or the wires to further “schemes” to defraud, are often applied against parties submitting false claims. The mail and wire fraud statutes cover the entire range of fraudulent conduct punishable under the Health Care Fraud and False Claims Acts.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_mmppa_1987,Medicare and Medicaid Patient Protection Act of 1987,42 U.S.C. § 1320a-7b(a),Federal,Criminal,sec_2_fed_criminal,"This statute proscribes six specific types of conduct, including the making of false statements, the concealment of information with intent to induce improper payments, improperly converting federal payments, and submitting claims for services provided by unlicensed individuals. This section's most commonly enforced provision prohibits individuals from “knowingly and willfully mak[ing] or caus[ing] to be made any false statement or representation of a material fact in any application for any benefit or payment under [the Medicare or Medicaid programs].”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_obstruction_1518,Obstruction of Criminal Investigations of Health Care Offenses,18 U.S.C. § 1518,Federal,Criminal,sec_2_fed_criminal,"This statute is frequently used during a health care fraud investigation by the government. The statute prohibits the obstruction of a criminal investigation in any material way, such as by failing to produce subpoenaed records, destroying or altering records, or attempting to influence the testimony of an employee questioned by government investigators.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_aks,Anti-Kickback Statute,42 U.S.C. §1320a-7(b),Federal,Criminal,sec_2_fed_criminal,"The federal Anti-Kickback Statute provides criminal and civil penalties for certain business arrangements that are influenced by the referral of patients for health care services covered by a federal health care program, such as Medicare and Medicaid. Specifically, the anti-kickback law prohibits the following: The knowing and willful solicitation, receipt, offer, or payment of any remuneration (which includes payments and anything else of value) whether direct or indirect, overt or covert, in cash or in kind, in return for: Referring an individual for any item or service covered by a federal health care program or Purchasing, leasing, ordering or arranging for, or recommending or arranging for the purchase, lease, or ordering of any item of service paid for (in whole or in part) under a federal health care program.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_perjury_written,Perjury by Written Instrument,,Federal,Criminal,sec_2_perjury,All Medicare and Medicaid claim forms have a written certification that the statements made in connection with the claim are submitted under the penalties of perjury.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_false_stmt_1001,False Statements,18 U.S.C. § 1001,Federal,Criminal,sec_2_perjury,"Another federal criminal statute frequently used to prosecute health care fraud is the provision relating to false statements. This statute prohibits the making of any false, fictitious, or fraudulent statement to the United States or a government agency. This statute is exceedingly broad: It covers any statement or representation made to the government or any of its agents. A statement can be made either orally or in writing, and it can be sworn or unsworn. This statute is often used to prosecute witnesses or others who lie to FBI agents during the course of an investigation.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_ma_medicaid_fca,The Massachusetts Medicaid False Claims Act,"M.G.L. c. 118E, § 21A et seq.",Massachusetts,Criminal and civil,sec_2_ma_criminal,"In 1980, Massachusetts enacted a comprehensive Medicaid False Claims Act that covers a number of prohibited activities, including fraudulent billing to the Medicaid program and anti-kickback provisions. The statute authorizes state prosecutors to bring criminal or civil action against any person violating the statutory provisions of the Massachusetts Medical Assistance (Medicaid) Program. In addition to criminal penalties, the Act provides for civil penalties of treble damages and the cost of the government investigation and litigation.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_ma_false_reps,False Representations to Secure Medicaid Payment,,Massachusetts,Criminal,sec_2_ma_criminal,This statute prohibits providers from knowingly making false representations to secure payment from Medicaid.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_ma_false_hc_claims,Massachusetts False Health Care Claims Act,"M.G.L. c. 175H, §§2-4",Massachusetts,Criminal and civil,sec_2_ma_criminal,"The False Health Care Claims Act prohibits the submission of fraudulent bills to private health insurers and other health care organizations. Additionally, the statute prohibits the solicitation or receipt or any “bribe or rebate” in connection with a private health care entity. Apart from criminal prosecution, the health insurer is authorized to bring a civil action to recover the full amount inappropriately paid, together with attorneys' fees and the costs of investigation.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
stat_ma_other,Other State Statutes,,Massachusetts,Criminal,sec_2_ma_criminal,The Massachusetts General Laws contain a number of general criminal statutes that are used in health care fraud and abuse prosecutions. Prosecutors frequently charge individuals suspected of health care fraud and abuse with larceny and the making of false statements in a statement verified under penalties of perjury.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
