fraudalert_id,title,date_issued,text,source_document
fa_jv_1989,Special Fraud Alert on Joint Venture and Contractual Arrangements,August 1989,"In August 1989, the OIG issued an alert on joint ventures and contractual arrangements between providers, which included a description of “indicators of potentially unlawful activity” in three aspects of a joint venture: investors, business structure and financing and profit distributions.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_waiver_1991,Special Fraud Alert on Routine Waiver of Co-payments or Deductibles,May 1991,"In May 1991, the OIG issued an alert to advise the health care industry that it would be investigating providers, such as physicians, who are paid on the basis of charges and routinely waive (do not bill) Medicare deductibles and co-payment charges to beneficiaries for services and items covered by the Medicare program. The OIG opined that such systemic conduct results in false claims, violations of the Anti-Kickback Statute, and excessive utilization of services and items paid for by Medicare.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_hosp_incentives_1992,Special Fraud Alert on Hospital Incentives to Referring Physicians,May 1992,"In May 1992, the OIG identified suspect arrangements between hospitals and physicians involving incentives to physicians to refer patients to the hospital. These include incentives that reduce physician's professional expenses (discounted office space or free staff services) or increase physician revenue (hospital payment each time the physician refers a patient to the hospital).","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_clinical_lab_1994,Special Fraud Alert on Arrangements for the Provision of Clinical Lab Services,October 1994,"In October 1994, the OIG discussed how certain arrangements between physicians or other health care providers and outside clinical laboratories to which they refer patient specimens may implicate the Anti-Kickback Statute. The alert notes arrangements involving phlebotomists from a laboratory placed in a physician's office may implicate the statute if additional services are rendered for the physician. Other situations mentioned include discounts for referrals, waiver of charges to managed care patients, free pick-up and disposal of biohazardous waste products, and free testing for health care providers, their families, and their employees.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_home_health_1995,Special Fraud Alert on Home Health Fraud,June 1995,"In June 1995, the OIG identified suspect kickback arrangements initiated by home health providers with physicians, beneficiaries, hospitals, and rest homes in return for referrals, fraud in annual cost reports, false billing practices, and claims for services not rendered. Suspect arrangements for referrals include offering free services and disguising referral fees as salaries by paying for services not rendered or in excess of fair market value, among others.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_certifications_1999,Physician Liability for Certifications in the Provision of Medical Equipment and Supplies and Home Health Services,January 1999,"In January 1999, the OIG issued this alert to make physicians more aware of the significance of certifications of medical necessity for durable medical equipment or home health care and how it could contribute to fraud and abuse and overutilization of health care services. The alert gives examples of inappropriate certifications that the OIG's investigations uncovered, such as a physician knowingly signing a number of forms falsely representing that services are medically necessary in order to qualify the patient for home health services; a physician falsely certifying that a patient is confined to the home and qualifies for home health services; a physician signing a stack of blank Certificates of Medical Necessity (CMNs) to be completed with false information in support of fraudulent claims for the equipment, among others. The alert is also careful to say that physicians are not personally liable for erroneous claims due to mistakes, inadvertence, or simple negligence.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
fa_rental_2000,Special Fraud Alert on Rental of Space in Physician Offices by Persons or Entities to Which Physicians Refer,February 2000,"Issued in February 2000, this alert identifies arrangements for physician office rental space that may possibly be disguised kickbacks to induce referrals. These arrangements include “comprehensive outpatient rehabilitation facilities” (CORFs) that provide physical and occupational therapy and speech-language pathology services in physicians' and other practitioners' offices; mobile diagnostic equipment suppliers that perform diagnostic-related tests in physicians' offices; and suppliers of durable medical equipment, prosthetics, orthotics, and supplies (DMEPOS) that set up “consignment closets” for their supplies in physicians' offices. The OIG focuses on three features of suspect rental arrangements: (1) the appropriateness of rental agreements (e.g., whether payments of rental has traditionally been provided for free or for a nominal charge); (2) the rental amounts (e.g., in excess of fair market value based on certain factors); and (3) “time and space considerations” (e.g., unreasonable or unnecessary for a commercially reasonable business purpose of the supplier-tenant). The OIG also gives specific guidance as to how rental calculations may be made for appropriate “time and space considerations.” Lastly, the alert “strongly recommend[s] that parties to rental agreements between physicians and suppliers to whom the physicians refer or for which physicians otherwise generate business make every effort to comply with the space rental safe harbor to the Anti-Kickback Statute. . .”","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
